user,PR
"jglick",256
"basil",239
"timja",204
"dduportal",167
"lemeurherve",164
"alecharp",123
"NotMyFault",114
"MarkEWaite",99
"jetersen",97
"daniel-beck",97
"kellie-freeman",96
"dheerajodha",61
"jtnord",56
"b-fisher-cb",50
"kmartens27",42
"DuMaM",42
"vihaanthora",39
"uhafner",36
"smerle33",31
"pjdarton",30
"Vlatombe",26
"Dan-Heath",26
"Dohbedoh",24
"dwnusbaum",22
"cari-mason",19
"janfaracik",18
"codecov",17
"sghill",16
"olamy",16
"kwhetstone",16
"AppVeyorBot",16
"halkeye",14
"bastiandoetsch",14
"aheritier",14
"Si-So",14
"twasyl",13
"kuisathaverat",12
"jmMeessen",12
"github-actions",11
"codeclimate",11
"britter",11
"mpet",10
"chriskilding",10
"SimonMatthews-BP",10
"oleg-nenashev",9
"hectorhuol",9
"cwellmtt",9
"bguerin",9
"offa",8
"ADI10HERO",8
"slide",7
"schottsfired",7
"nre-ableton",7
"mattmurp",7
"mat1e",7
"jflinchbaugh",7
"dkjellin",7
"Langer0416",7
"KalleOlaviNiemitalo",7
"yaroslavafenkin",6
"tploss",6
"stchar",6
"ridemountainpig",6
"quilicicf",6
"mPokornyETM",6
"lgemeinhardt",6
"eduard-tita",6
"cokieffebah",6
"strangelookingnerd",5
"khughes-atlassian",5
"judovana",5
"jamesrobson-secondmind",5
"glenpgillman",5
"fredg02",5
"airadier",5
"Wadeck",5
"StefanSpieker",5
"ChadiEM",5
"yuezhuangshi",4
"repolevedavaj",4
"pfeuffer",4
"ndsistsys",4
"jmdesprez",4
"j-luong",4
"damianszczepanik",4
"cathychan",4
"bluesliverx",4
"MartinGroscheTT",4
"LizGaudet",4
"wolfs",3
"vishalhcl-5960",3
"vishalhcl",3
"torstenwalter",3
"thombergs",3
"simonsymhoven",3
"rishabhBudhouliya",3
"res0nance",3
"pavel-snyk",3
"multani",3
"microscotch",3
"meiswjn",3
"kerogers-cloudbees",3
"joelee2012",3
"jamietanna",3
"j3t",3
"donmccasland",3
"davidho0403",3
"cyrille-leclerc",3
"cperrin88",3
"avishah101",3
"alyssat",3
"Peter-Darton-i2",3
"LinuxSuRen",3
"v1v",2
"tarioch",2
"steven-terrana",2
"spasche",2
"shindouj",2
"rsvoboda",2
"poasungoh",2
"pascal910107",2
"netlify",2
"midu-git",2
"markyjackson-taulia",2
"kinow",2
"jsmrcka",2
"jdelnano",2
"isaacsatish",2
"ikedam",2
"h1dden-da3m0n",2
"gounthar",2
"ganeshborle",2
"francoisfreitag",2
"d-enz",2
"cashlalala",2
"barneygale",2
"LauraBuzas",2
"Hildebrand-Ritense",2
"Graham42",2
"Dainerx",2
"CJCombrink",2
"zbynek",1
"wrt54g",1
"vzamoragbmc",1
"vijaysanchetibmc",1
"viceice",1
"usmonster",1
"tomekjarosik",1
"toabi",1
"tingweichoo",1
"tdraebing",1
"sujithmathew93",1
"smellouk",1
"simonabateman",1
"serpentblade",1
"sephiroth-j",1
"seanly",1
"sbuhary",1
"rsandell",1
"rishi-104276",1
"pyieh",1
"prryb",1
"priyanka-kaur",1
"papemamadou91",1
"p4paul",1
"orjan",1
"nhojpatrick",1
"nbelliot",1
"naushniki",1
"mwinter69",1
"mtughan",1
"mthaddon",1
"metlos",1
"marcuzzuu",1
"lsoumille",1
"krisstern",1
"kripajoym",1
"kevinhuber",1
"joshbranham",1
"jonesbusy",1
"jonbrohauge",1
"jeffreymcclain",1
"jakub-bochenski",1
"ittner",1
"imonteroperez",1
"hervelemeur",1
"guysoft",1
"github-code-scanning",1
"frankie139506",1
"fautpasycraindre",1
"ericcitaire",1
"eheimbuch",1
"duemir",1
"dorin7bogdan",1
"donhui",1
"dennisgu1",1
"deleted_user",1
"davidsainty",1
"darxriggs",1
"coco80021",1
"chriscarpenter12",1
"cbernard-psee",1
"car-roll",1
"bhubert",1
"aytuncbeken",1
"arpoch",1
"aravindmetku",1
"aneveux",1
"amohapatr",1
"adityai",1
"aaron-axisa",1
"TomHellier",1
"SantiagoTorres",1
"Nikamura",1
"Mei-Zhao",1
"MattLud",1
"LTegtmeier",1
"DaGeRe",1
