user,PR
"bot-githubaction",25
"eskatos",23
"bot-gradle",18
"asodja",18
"jvandort",17
"blindpirate",17
"ljacomet",15
"wolfs",13
"jprinet",12
"clayburn",12
"runningcode",10
"cdsap",9
"alllex",9
"tresat",7
"ghale",7
"bamboo",7
"abstratt",7
"tylerbertrand",6
"reinsch82",5
"mlopatkin",5
"FrauBoes",5
"jean-andre-gauthier",4
"jbartok",4
"hythloda",4
"hegyibalint",4
"erichaagdev",4
"pshevche",3
"lptr",3
"c00ler",3
"bigdaz",3
"adammurdoch",3
"xaviarias",2
"sorin-florea",2
"pan93412",2
"jeffwidman",2
"dejankos",2
"big-guy",2
"Vampire",2
"yiweny",1
"snoopcheri",1
"rafalh",1
"ov7a",1
"octylFractal",1
"martinbonnin",1
"madhead",1
"jjohannes",1
"h0tk3y",1
"franckrasolo",1
"donat",1
"didot",1
"bcmedeiros",1
"aSemy",1
"TheDadda",1
"TWiStErRob",1
"SimonMarquis",1
"Goooler",1
"Faqa",1
"Borewit",1
"6hundreds",1
