user,PR
"bot-gradle",457
"wolfs",326
"lptr",186
"asodja",157
"blindpirate",132
"big-guy",106
"tresat",103
"DPUkyle",99
"ljacomet",87
"JLLeitschuh",63
"eskatos",47
"bamboo",44
"donat",43
"jbartok",34
"octylFractal",27
"leonard84",27
"melix",25
"etiennestuder",25
"bigdaz",23
"stale",16
"lacasseio",14
"runningcode",13
"adammurdoch",10
"TWiStErRob",10
"oehme",9
"mlopatkin",7
"alextu",7
"jprinet",6
"ghale",6
"facewindu",6
"Okeanos",5
"nathan-contino",4
"mattt",4
"h0tk3y",4
"cw-acroteau",4
"almogtavor",4
"tjni",3
"sehenst",3
"rpalcolea",3
"github-actions",3
"aSemy",3
"Vampire",3
"GrahamDennis",3
"pioterj",2
"pbielicki",2
"marcphilipp",2
"lightbody",2
"ldaley",2
"britter",2
"barnhill",2
"Marcono1234",2
"Anton-Vasilev",2
"ykhandelwal913",1
"pbandura",1
"liutikas",1
"jthurne",1
"code-magician323",1
"anuraaga",1
"UmaMtwo",1
"U1F984",1
