PR_ref,commenter,month
"gradle/gradle/16280","blindpirate","2021-02"
"gradle/gradle/16279","JLLeitschuh","2021-02"
"gradle/gradle/16279","bot-gradle","2021-02"
"gradle/gradle/16277","eskatos","2021-02"
"gradle/gradle/16277","bot-gradle","2021-02"
"gradle/gradle/16277","eskatos","2021-02"
"gradle/gradle/16277","bot-gradle","2021-02"
"gradle/gradle/16277","eskatos","2021-03"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","bot-gradle","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","bot-gradle","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","wolfs","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16276","melix","2021-02"
"gradle/gradle/16275","paplorinc","2021-02"
"gradle/gradle/16275","paplorinc","2021-02"
"gradle/gradle/16275","bot-gradle","2021-02"
"gradle/gradle/16275","donat","2021-02"
"gradle/gradle/16274","lptr","2021-03"
"gradle/gradle/16274","bot-gradle","2021-03"
"gradle/gradle/16274","lptr","2021-03"
"gradle/gradle/16274","bot-gradle","2021-03"
"gradle/gradle/16274","runningcode","2021-02"
"gradle/gradle/16274","runningcode","2021-02"
"gradle/gradle/16274","runningcode","2021-02"
"gradle/gradle/16274","wolfs","2021-02"
"gradle/gradle/16274","wolfs","2021-02"
"gradle/gradle/16274","wolfs","2021-02"
"gradle/gradle/16274","wolfs","2021-02"
"gradle/gradle/16274","melix","2021-02"
"gradle/gradle/16274","lptr","2021-03"
"gradle/gradle/16274","lptr","2021-03"
"gradle/gradle/16274","lptr","2021-03"
"gradle/gradle/16274","lptr","2021-03"
"gradle/gradle/16274","lptr","2021-03"
"gradle/gradle/16274","runningcode","2021-03"
"gradle/gradle/16274","wolfs","2021-03"
"gradle/gradle/16274","wolfs","2021-03"
"gradle/gradle/16274","lptr","2021-03"
"gradle/gradle/16274","wolfs","2021-03"
"gradle/gradle/16272","blindpirate","2021-02"
"gradle/gradle/16272","blindpirate","2021-02"
"gradle/gradle/16272","wolfs","2021-02"
"gradle/gradle/16272","blindpirate","2021-02"
"gradle/gradle/16271","pioterj","2021-02"
"gradle/gradle/16271","bmuskalla","2021-02"
"gradle/gradle/16271","pioterj","2021-02"
"gradle/gradle/16271","bmuskalla","2021-02"
"gradle/gradle/16267","big-guy","2021-04"
"gradle/gradle/16263","ljacomet","2021-02"
"gradle/gradle/16263","bot-gradle","2021-02"
"gradle/gradle/16262","donat","2021-02"
"gradle/gradle/16262","eskatos","2021-02"
"gradle/gradle/16262","donat","2021-02"
"gradle/gradle/16262","donat","2021-02"
"gradle/gradle/16262","bot-gradle","2021-02"
"gradle/gradle/16262","donat","2021-02"
"gradle/gradle/16262","bot-gradle","2021-02"
"gradle/gradle/16262","eskatos","2021-02"
"gradle/gradle/16262","eskatos","2021-02"
"gradle/gradle/16262","donat","2021-02"
"gradle/gradle/16262","donat","2021-02"
"gradle/gradle/16262","eskatos","2021-02"
"gradle/gradle/16262","donat","2021-02"
"gradle/gradle/16260","bmuskalla","2021-02"
"gradle/gradle/16260","bot-gradle","2021-02"
"gradle/gradle/16260","marcphilipp","2021-02"
"gradle/gradle/16259","bmuskalla","2021-02"
"gradle/gradle/16259","bot-gradle","2021-02"
"gradle/gradle/16259","wolfs","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","ghale","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/android-cache-fix-gradle-plugin/145","runningcode","2021-02"
"gradle/gradle/16253","melix","2021-02"
"gradle/gradle/16253","melix","2021-02"
"gradle/gradle/16253","melix","2021-02"
"gradle/gradle/16253","bot-gradle","2021-02"
"gradle/gradle/16253","melix","2021-02"
"gradle/gradle/16253","wolfs","2021-02"
"gradle/gradle/16253","wolfs","2021-02"
"gradle/gradle/16253","wolfs","2021-02"
"gradle/gradle/16253","wolfs","2021-02"
"gradle/gradle/16253","wolfs","2021-02"
"gradle/gradle/16253","melix","2021-02"
"gradle/gradle/16253","melix","2021-02"
"gradle/gradle/16253","wolfs","2021-02"
"gradle/gradle/16253","melix","2021-02"
"gradle/gradle/16252","melix","2021-02"
"gradle/gradle/16252","blindpirate","2021-02"
"gradle/gradle/16252","bot-gradle","2021-02"
"gradle/gradle/16252","melix","2021-02"
"gradle/gradle/16252","wolfs","2021-02"
"gradle/gradle/16251","ljacomet","2021-02"
"gradle/gradle/16251","bot-gradle","2021-02"
"gradle/gradle/16248","jjohannes","2021-02"
"gradle/gradle/16248","bot-gradle","2021-02"
"gradle/gradle/16248","melix","2021-02"
"gradle/gradle/16248","melix","2021-02"
"gradle/gradle/16248","melix","2021-02"
"gradle/gradle/16248","melix","2021-02"
"gradle/gradle/16248","melix","2021-02"
"gradle/gradle/16248","ljacomet","2021-02"
"gradle/gradle/16248","ljacomet","2021-02"
"gradle/gradle/16248","ljacomet","2021-02"
"gradle/gradle/16248","jjohannes","2021-02"
"gradle/gradle/16248","jjohannes","2021-02"
"gradle/gradle/16240","ljacomet","2021-02"
"gradle/gradle/16240","ljacomet","2021-02"
"gradle/gradle/16236","melix","2021-02"
"gradle/gradle/16235","melix","2021-02"
"gradle/gradle/16235","melix","2021-02"
"gradle/gradle/16234","melix","2021-02"
"gradle/gradle/16234","bot-gradle","2021-02"
"gradle/gradle/16234","melix","2021-02"
"gradle/gradle/16234","bot-gradle","2021-02"
"gradle/gradle/16230","melix","2021-02"
"gradle/gradle/16230","bot-gradle","2021-02"
"gradle/gradle/16230","melix","2021-02"
"gradle/gradle/16230","bot-gradle","2021-02"
"gradle/gradle/16230","wolfs","2021-02"
"gradle/gradle/16230","wolfs","2021-02"
"gradle/gradle/16230","melix","2021-02"
"gradle/gradle/16230","melix","2021-02"
"gradle/gradle/16230","wolfs","2021-02"
"gradle/gradle/16230","wolfs","2021-02"
"gradle/gradle/16230","melix","2021-02"
"gradle/gradle/16230","wolfs","2021-02"
"gradle/gradle/16230","melix","2021-02"
"gradle/gradle/16230","melix","2021-02"
"gradle/gradle/16230","melix","2021-02"
"gradle/gradle/16228","blindpirate","2021-02"
"gradle/gradle/16226","eskatos","2021-02"
"gradle/gradle/16226","bot-gradle","2021-02"
"gradle/gradle/16226","eskatos","2021-02"
"gradle/gradle/16226","bot-gradle","2021-02"
"gradle/gradle/16226","bamboo","2021-02"
"gradle/gradle/16226","bamboo","2021-02"
"gradle/gradle/16226","eskatos","2021-02"
"gradle/gradle/16226","eskatos","2021-02"
"gradle/gradle/16224","eskatos","2021-02"
"gradle/gradle/16224","bot-gradle","2021-02"
"gradle/gradle/16224","eskatos","2021-02"
"gradle/gradle/16224","bot-gradle","2021-02"
"gradle/gradle/16221","melix","2021-02"
