user,PR
"bot-gradle",176
"wolfs",167
"melix",91
"lptr",74
"ljacomet",60
"donat",56
"jjohannes",54
"bmuskalla",46
"eskatos",45
"bamboo",35
"runningcode",27
"big-guy",22
"ghale",21
"blindpirate",21
"JLLeitschuh",21
"rieske",15
"etiennestuder",14
"ldaley",12
"AlexBeggs",9
"grossws",8
"bigdaz",6
"stale",4
"pioterj",4
"britter",4
"anuraaga",4
"staale",3
"snoopcheri",3
"nugmanoff",3
"paplorinc",2
"lacasseio",2
"kyhule",2
"jonnybbb",2
"counter-reverse",2
"EwoutH",2
"wboult",1
"pbielicki",1
"oehme",1
"mergify",1
"marcphilipp",1
"lestephane",1
"dreis2211",1
"carstenhag",1
"blundell",1
"alllex",1
"ZacSweers",1
"TamasBarta",1
"Sinapse87",1
"LifeIsStrange",1
