user,PR
"bot-gradle",356
"wolfs",137
"blindpirate",111
"bamboo",62
"runningcode",50
"ljacomet",50
"asodja",40
"etiennestuder",39
"mlopatkin",35
"lptr",34
"big-guy",29
"eskatos",26
"tresat",24
"hegyibalint",24
"DPUkyle",24
"donat",22
"jbartok",17
"ghale",16
"clayburn",16
"octylFractal",15
"aSemy",15
"marcphilipp",13
"sambsnyd",10
"mathjeff",9
"ldaley",8
"jthurne",8
"jvandort",7
"jprinet",7
"ashwinpankaj",7
"facewindu",6
"adammurdoch",6
"alextu",5
"stale",4
"martin-braun",3
"leonard84",3
"grossws",3
"sorin-florea",2
"sll552",2
"ijuma",2
"guylabs",2
"bigdaz",2
"alpar-t",2
"alllex",2
"xdevs23",1
"wdroste",1
"vanniktech",1
"shanman190",1
"rocketraman",1
"rieske",1
"marchermans",1
"jonnybbb",1
"github-actions",1
"cortinico",1
"britter",1
"Taybou",1
"JLLeitschuh",1
