PR_ref,commenter,month
"gradle/gradle/19172","bamboo","2021-11"
"gradle/gradle/19172","bot-gradle","2021-11"
"gradle/gradle/19172","bamboo","2021-11"
"gradle/gradle/19172","bot-gradle","2021-11"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","tjni","2021-12"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","bot-gradle","2021-12"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","bot-gradle","2021-12"
"gradle/gradle/19170","stale","2022-03"
"gradle/gradle/19170","JLLeitschuh","2022-03"
"gradle/gradle/19170","JLLeitschuh","2022-03"
"gradle/gradle/19170","wolfs","2022-03"
"gradle/gradle/19170","JLLeitschuh","2022-03"
"gradle/gradle/19170","tjni","2021-11"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","tresat","2021-12"
"gradle/gradle/19170","tresat","2021-12"
"gradle/gradle/19170","wolfs","2021-12"
"gradle/gradle/19170","wolfs","2021-12"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","tjni","2021-12"
"gradle/gradle/19170","ljacomet","2021-12"
"gradle/gradle/19170","ljacomet","2021-12"
"gradle/gradle/19170","ljacomet","2021-12"
"gradle/gradle/19170","ljacomet","2021-12"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","JLLeitschuh","2021-12"
"gradle/gradle/19170","wolfs","2022-03"
"gradle/gradle/19170","wolfs","2022-03"
"gradle/gradle/19170","wolfs","2022-03"
"gradle/gradle/19170","wolfs","2022-03"
"gradle/gradle/19170","wolfs","2022-03"
"gradle/gradle/19170","wolfs","2022-03"
"gradle/gradle/19170","JLLeitschuh","2022-03"
"gradle/gradle/19170","JLLeitschuh","2022-03"
"gradle/gradle/19170","JLLeitschuh","2022-03"
"gradle/gradle/19170","wolfs","2022-03"
"gradle/gradle/19170","JLLeitschuh","2022-03"
"gradle/gradle/19168","donat","2021-12"
"gradle/gradle/19168","bot-gradle","2021-12"
"gradle/gradle/19168","donat","2021-12"
"gradle/gradle/19168","bot-gradle","2021-12"
"gradle/gradle/19168","donat","2021-12"
"gradle/gradle/19168","lptr","2021-12"
"gradle/gradle/19168","lptr","2021-12"
"gradle/gradle/19168","donat","2021-12"
"gradle/gradle/19166","blindpirate","2021-11"
"gradle/gradle/19166","bot-gradle","2021-11"
"gradle/gradle/19166","wolfs","2021-11"
"gradle/ide-smoke-tests/16","donat","2021-12"
"gradle/ide-smoke-tests/16","donat","2022-01"
"gradle/ide-smoke-tests/16","donat","2022-06"
"gradle/ide-smoke-tests/16","donat","2022-06"
"gradle/ide-smoke-tests/16","eskatos","2022-06"
"gradle/gradle/19164","blindpirate","2021-11"
"gradle/gradle/19164","bot-gradle","2021-11"
"gradle/gradle/19164","blindpirate","2021-11"
"gradle/gradle/19164","bot-gradle","2021-11"
"gradle/gradle/19164","bot-gradle","2021-11"
"gradle/gradle/19163","blindpirate","2021-11"
"gradle/gradle/19163","bot-gradle","2021-11"
"gradle/gradle/19163","blindpirate","2021-11"
"gradle/gradle/19163","bot-gradle","2021-11"
"gradle/gradle/19163","bot-gradle","2021-11"
"gradle/gradle/19162","blindpirate","2021-11"
"gradle/gradle/19162","bot-gradle","2021-11"
"gradle/gradle/19162","blindpirate","2021-11"
"gradle/gradle/19162","bot-gradle","2021-11"
"gradle/gradle/19161","blindpirate","2021-11"
"gradle/gradle/19161","bot-gradle","2021-11"
"gradle/gradle/19161","bot-gradle","2021-11"
"gradle/android-cache-fix-gradle-plugin/214","bigdaz","2021-12"
"gradle/android-cache-fix-gradle-plugin/214","barnhill","2021-12"
"gradle/gradle/19159","DPUkyle","2021-11"
"gradle/gradle/19159","bot-gradle","2021-11"
"gradle/gradle/19159","DPUkyle","2021-11"
"gradle/gradle/19159","bot-gradle","2021-11"
"gradle/gradle/19158","wolfs","2022-08"
"gradle/gradle/19158","bot-gradle","2022-08"
"gradle/gradle/19158","bot-gradle","2022-08"
"gradle/gradle/19158","wolfs","2021-11"
"gradle/gradle/19158","lptr","2021-11"
"gradle/gradle/19158","wolfs","2021-11"
"gradle/gradle/19158","lptr","2021-11"
"gradle/gradle/19158","nathan-contino","2022-08"
"gradle/gradle/19158","nathan-contino","2022-08"
"gradle/gradle/19158","nathan-contino","2022-08"
"gradle/gradle/19158","nathan-contino","2022-08"
"gradle/gradle/19158","lptr","2022-08"
"gradle/gradle/19158","lptr","2022-08"
"gradle/gradle/19158","lptr","2022-08"
"gradle/gradle/19158","wolfs","2022-08"
"gradle/gradle/19158","wolfs","2022-08"
"gradle/android-cache-fix-gradle-plugin/213","barnhill","2021-12"
