Submitter,Total_PRs
basil,1466
MarkEWaite,1112
NotMyFault,1065
lemeurherve,887
dduportal,769
jglick,394
smerle33,274
timja,257
jonesbusy,195
timja-bot,191
daniel-beck,169
sghill-rewrite,164
uhafner,140
alecharp,130
gounthar,128
jtnord,127
mawinter69,108
janfaracik,107
Vlatombe,99
halkeye,96
kmartens27,84
StefanSpieker,82
zbynek,63
krisstern,60
olamy,60
froque,58
jmMeessen,56
dwnusbaum,55
rahulsom,53
Dohbedoh,49
mPokornyETM,46
JLLeitschuh,45
Jagrutiti,43
yaroslavafenkin,40
c00ler,37
