,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09
MartinGroscheTT (new),0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,9,0,2,14,1,4,3,11,4,1,0,6,1,0,5,0,21,4,0,0,0,34,0,23
kuisathaverat,6,1,3,6,3,11,6,9,0,19,41,16,2,21,36,13,29,19,17,2,1,4,8,1,14,10,17,12,4,13,23,39,6,4,0,2,0,2,12,2,7,0,2,3,12,17,18,13,1,5,5,0,6,12,2,6,2
nikita-tkachenko-datadog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,14,11,0,2,0,33,8,22,6,3,3,1,0,5
AayushSaini101 (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,16,43,2,0,0,0,0,0
amuniz (new),0,9,17,18,31,14,3,0,1,2,3,2,3,8,10,8,7,20,2,2,0,10,9,9,0,5,2,0,0,0,1,0,2,1,6,0,3,2,3,1,0,0,2,0,5,3,5,11,7,0,2,2,22,2,20,0,9
fcojfernandez (new),60,58,34,11,13,26,50,8,1,4,19,1,6,2,0,0,0,0,1,6,2,0,1,2,0,0,2,0,0,0,1,3,0,0,10,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,33,0,44
aneveux (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,0,0,0,7,1,0,5,5,2,0,0,37,108,138,19,19,1,0,5,0,0,1,1,0,12,0,0
Jagrutiti (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,1,32,29,0,18,33,31,43,60,25,2,0,2,12,0,4,0,0,0,0,0,0
bguerin (churned),0,3,0,4,0,0,0,0,4,1,0,0,5,5,1,7,2,3,0,0,8,0,4,15,4,9,0,1,3,13,7,5,12,0,2,4,1,5,5,9,0,8,8,13,58,23,4,0,2,0,8,0,2,3,0,0,0
LizGaudet (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,37,0,0,0,0,3,0,0,0,113,0,0,0,0,0,0,0,0,0,6,0,0,0,30
car-roll (churned),15,8,3,17,10,9,4,25,77,22,44,2,0,10,10,13,64,50,19,13,16,2,29,22,13,8,19,30,12,5,4,5,2,14,9,0,17,5,3,0,12,3,14,18,69,4,9,2,0,0,0,3,0,0,1,0,2
pdk27 (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,20,37,13,36,9,0,0,0,0,0,0,0,0,0,0
damianszczepanik (churned),6,32,4,8,6,0,2,3,0,2,17,1,27,6,0,3,4,0,3,0,7,1,0,1,0,11,4,6,0,3,6,6,1,1,24,2,2,3,5,0,0,12,29,4,32,10,16,16,4,4,0,0,0,0,2,1,0
