GroupBy(user.login),count(org)
"1c3t3a",1
"95jonpet",1
"AdamBrousseau",1
"AlessandroMenti",3
"Alex-Vol-SV",2
"AlvinStanescu",4
"DanaMaxfield",3
"DanaShteiman",1
"Dohbedoh",2
"DonaldKallman",1
"Erwyn",3
"FibYar",1
"FloOows",1
"FlorianVeaux",8
"FooBarWidget",1
"GavinF17",2
"Hans-JakobHoltzTT",1
"IncredibleLou",1
"KasperHeyndrickx",1
"Khyme",1
"KocproZ",1
"LTegtmeier",3
"LeSuisse",1
"LinuxSuRen",3
"MRamonLeon",2
"MarkEWaite",27
"MartinGroscheTT",2
"Michkov",1
"MykhayloGnylorybov",1
"Nhattd97",1
"PierreBtz",5
"RecuencoJones",4
"RohanImmanuel",1
"Roy-Lu",1
"Russell616",1
"SMillerDev",1
"Sleepy-GH",2
"Spenser309",1
"StefanSpieker",9
"SumoSourabh",2
"Thihup",1
"ThomasBower",1
"Vlatombe",4
"Wadeck",4
"WillSkates",1
"XiongKezhi",11
"Zastai",3
"adrianmusante",1
"aheritier",1
"alecharp",3
"alejdg",1
"alex4108",1
"alibk0rd",3
"amandel",4
"amedee",2
"andau",1
"andreashoyerh2m",1
"art-of-dom",3
"aslaakso",2
"atombrella",1
"awltux",1
"aytuncbeken",4
"ballab1",1
"basil",12
"batje",1
"bertold",1
"bgermann",1
"bitwiseman",11
"boris-github",1
"brianeray",1
"bryanateoan",1
"buddhikac96",2
"builderh2m",1
"car-roll",3
"ccaspanello",3
"centic9",1
"cgroschupp",1
"chanj14ebsco",1
"cheerfyt",1
"chriskilding",7
"clywyk",7
"cpoenisch",1
"ctan-atlassian",4
"damianszczepanik",1
"daniel-beck",25
"danieldanan",1
"darxriggs",1
"daverted",2
"dennisgu1",2
"derkyjadex",1
"diegolovison",1
"dmc",1
"donmccasland",3
"drodriguezhdez",1
"dwnusbaum",15
"eazy-g",1
"efhjnw0",1
"engfelipeoliveira",2
"eserbin",1
"fisabelle",1
"fnmunhoz",1
"fqueiruga",8
"garykb8",1
"gbonnefille",1
"getJv",3
"glebiller",2
"gmshake",1
"goravjoshi",3
"guga4ka",2
"guillermo-varela",2
"h1dden-da3m0n",2
"halkeye",7
"hoegertn",1
"horodchukanton",2
"hrmohr",1
"ikedam",5
"imuqtadir",6
"ironcerocloudbees",1
"isaac-s",1
"jay-hershkowitz",3
"jeffret-b",4
"jennings",1
"jetersen",6
"jglick",37
"jgoering41",1
"jkhelil",2
"jlosito",3
"jnsdrtlf",1
"joel-f-brown",1
"jtnord",2
"juneeighteen",1
"justinschw",1
"jvz",2
"kennyg",1
"kshultzCB",1
"kuisathaverat",1
"kumbasar",1
"kwhetstone",1
"lastverb",1
"lper1582",20
"lsouchard",1
"lwindolf",1
"maciejurbanskisaucelabs",1
"major",1
"markxiaotao",1
"markyjackson-taulia",2
"martinda",1
"matthiasfichtner-mms",1
"mattloveparasoft",1
"maxlaverse",6
"mguillem",1
"mhenschke-atl",8
"mig82",1
"mitchelkoster",1
"mslavkov",1
"nehagupta29",1
"nre-ableton",4
"nzdjb",1
"olamy",2
"olblak",91
"oleg-nenashev",68
"olivergondza",3
"omkar-dsd",1
"ovasilko",7
"pablitoc",1
"patrikn",1
"pbelskiy",1
"pfeuffer",1
"pgaglani1",1
"pit3k",2
"prabinb",1
"proski",1
"psiingh",2
"pulgupta",1
"pv-smartbear",1
"radislavB",6
"rathaya",1
"raul-arabaolaza",1
"rgroothuijsen",1
"rishabhBudhouliya",6
"robertstreche",3
"robinsoc",4
"romogo17",1
"ron-k",1
"rottebds",1
"rsandell",1
"sarah-witt",11
"schottsfired",4
"sdorra",1
"shalithasuranga",3
"sirstrahd",1
"sladyn98",20
"slide",27
"smolin",1
"sstncr",1
"stefanbirkner",24
"steigr",1
"stellargo",25
"steven-terrana",3
"stikonas",1
"stuartrowe",1
"sturman",1
"sue445",1
"sunweisheng",1
"sushobhit-lt",1
"svasek",1
"sweavo",1
"synomtv",1
"takashiharano",1
"tanmoyguha-hcl",2
"tbhi",1
"tequilarista",1
"testsigma-eng",1
"timja",73
"tizki",1
"tmoreland-r7",2
"tomaszsek",1
"tszmytka",4
"tzachs",2
"uhafner",12
"v1v",1
"vkotovv",1
"vrnvikas",1
"vroy",1
"vsilverman",3
"wandersonwhcr",1
"waveywaves",1
"wgoyer",1
"wheelerlaw",1
"wimsymons",1
"wollsi",1
"wushujames",1
"zaycodes",2
"zbynek",1
"zhaoying818",4
"zhouqr2000",2
"ztepsic",1
