user,PR
"olblak",82
"jglick",52
"MarkEWaite",47
"timja",31
"oleg-nenashev",26
"Vlatombe",21
"torstenwalter",17
"garethjevans",16
"daniel-beck",16
"res0nance",13
"uhafner",12
"dwnusbaum",11
"car-roll",9
"LinuxSuRen",9
"zbynek",8
"slide",8
"StefanSpieker",8
"halkeye",7
"cdelmonte-zg",7
"basil",7
"vrulevskyi",6
"mhenschke-atl",6
"jeffret-b",6
"aphatangade",6
"zhongwandong",5
"fqueiruga",5
"cpoenisch",5
"v1v",4
"steven-terrana",4
"phaser",4
"pfeuffer",4
"olamy",4
"jvz",4
"joseblas",4
"cokieffebah",4
"chriskilding",4
"MRamonLeon",4
"FarmGeek4Life",4
"tmoreland-r7",3
"sephiroth-j",3
"kuisathaverat",3
"jtnord",3
"ikedam",3
"dvilaverde",3
"batmat",3
"aytuncbeken",3
"ali3-atlassian",3
"Wadeck",3
"Fargk",3
"Dohbedoh",3
"wzur-r3",2
"vsilverman",2
"robertstreche",2
"rbywater",2
"phietala",2
"olivergondza",2
"mguillem",2
"mezpahlan",2
"kinow",2
"jsoref",2
"iamabhishek-dubey",2
"hrmohr",2
"harshitvasu",2
"h1dden-da3m0n",2
"frieder",2
"dskouris",2
"drodriguezhdez",2
"dmitrymikheiev",2
"bluesliverx",2
"XiongKezhi",2
"TobiX",2
"REBELinBLUE",2
"PierreBtz",2
"PatrikSchalin-zz",2
"Greybird",2
"FlorianVeaux",2
"EstherAF",2
"DanaMaxfield",2
"zyad-compuware",1
"zsprints",1
"zhaoying818",1
"zaycodes",1
"young-s-park",1
"whut",1
"vladt",1
"vivian-src",1
"vincentrussell",1
"varyvol",1
"uen",1
"ualjjcanada",1
"tylrd",1
"tylersouthwick",1
"twasyl",1
"timoinstana",1
"thomasgl-orange",1
"tembleking",1
"tbarda",1
"tam116",1
"sysnet4admin",1
"sue445",1
"sudhirbatchu9383",1
"stopley",1
"ssproessig",1
"sparshev",1
"smartin-qb",1
"seyguai",1
"sboschman",1
"sams-gleb",1
"s-j-nilsson",1
"ro-kr",1
"rlouis-r7",1
"richardmarbach",1
"rhysm",1
"raydouglass",1
"rantoniuk",1
"radislavB",1
"psiingh",1
"prydin",1
"pjnkumar",1
"pfhyxs0",1
"pallocchi",1
"oolfloo",1
"olekuz",1
"ohbus",1
"nikita-bedmutha",1
"nbelliot",1
"narayanan",1
"mstory21",1
"mrginglymus",1
"mprencipe",1
"mpet",1
"mbauhardt",1
"marquestiago",1
"markyjackson-taulia",1
"luka5",1
"lucassrg",1
"ltamaster",1
"lionelraeymaekers",1
"leelaprasadv",1
"kturetzky",1
"kryptag",1
"kjkao",1
"kenji21",1
"katieeluskie",1
"jumarko",1
"jonbrohauge",1
"joelee2012",1
"jmartinspt",1
"jgangemi",1
"jeffpearce",1
"jdeniau",1
"jaydeeps-sacumen",1
"janssk1",1
"jBouyoud",1
"j3p0uk",1
"j-martin",1
"ispasov",1
"hoshsadiq",1
"hiro0824",1
"helver",1
"haugenj",1
"hampusjohansson1",1
"gmshake",1
"gjabouley-invn",1
"ghannamz",1
"galargh",1
"froggabriel",1
"fowlie",1
"fcrespel",1
"fbuchmeier-abi",1
"fbelzunc",1
"ewelinawilkosz",1
"evernat",1
"els-grazziotinf",1
"dspalmer99",1
"douglasbgray",1
"dnskr",1
"divyank31",1
"dcendents",1
"dbnicholson",1
"danudey",1
"damianszczepanik",1
"cwiggs",1
"cwholmes",1
"comdeng",1
"chiarng",1
"cccfeng",1
"bryanateoan",1
"bogdancucosel",1
"blesuer",1
"bkhouri",1
"benjaoming",1
"benebsiny",1
"belingueres",1
"bartoszkaczkowski",1
"balleman-tt",1
"babusekaran",1
"atsalolikhin-spokeo",1
"asimell",1
"amhaskePTC",1
"aliaandersen",1
"advinst",1
"adivos",1
"adamvaughan",1
"adamdmharvey",1
"ababushk",1
"Zastai",1
"VISTALL",1
"TonyNoble",1
"TimSVector",1
"TheImplementer",1
"SylwiaBrant",1
"SokolovPavel",1
"SohamJ",1
"SHxKM",1
"Rubenmp",1
"PhilippHomann",1
"MartinGroscheTT",1
"MaciejKucia",1
"JasonMathison",1
"JCFlores93",1
"EpicKiwi",1
"ElfoLiNk",1
"Denis1990",1
"DavyJones2010",1
"Avishagp",1
"AlvinStanescu",1
"Absh-Day",1
