org,repository,url,state,created_at,merged_at,user.login,title
"jenkinsci","docker","https://github.com/jenkinsci/docker/pull/1134","closed","2021-06-29T06:35:28Z","2021-06-29T17:48:07Z","timja","Remove un-published openj9 images"
"jenkinsci","ghprb-plugin","https://github.com/jenkinsci/ghprb-plugin/pull/823","open","2021-06-29T17:03:06Z",,"raydouglass","Add hyperlink to PR ID in the cause description"
"jenkinsci","dotnet-sdk-plugin","https://github.com/jenkinsci/dotnet-sdk-plugin/pull/50","closed","2021-06-29T16:54:59Z","2021-06-29T16:55:18Z","Zastai","Make use of the fix for JENKINS-62572"
"jenkinsci","docker-agent","https://github.com/jenkinsci/docker-agent/pull/176","closed","2021-06-24T10:30:22Z","2021-06-24T17:54:00Z","agentgonzo","Upgrade Remoting to 4.9"
"jenkinsci","datadog-plugin","https://github.com/jenkinsci/datadog-plugin/pull/224","closed","2021-06-29T15:41:23Z","2021-06-29T15:51:28Z","drodriguezhdez","Prepare v3.0.0 v2"
"jenkinsci","datadog-plugin","https://github.com/jenkinsci/datadog-plugin/pull/223","closed","2021-06-29T12:01:14Z","2021-06-29T14:04:47Z","drodriguezhdez","Reinitialize Datadog Client when tracer collection port is updated."
"jenkinsci","dotnet-sdk-plugin","https://github.com/jenkinsci/dotnet-sdk-plugin/pull/49","closed","2021-06-29T14:00:33Z","2021-06-29T14:00:51Z","Zastai","JENKINS-66009: Fix typo"
"jenkinsci","saml-plugin","https://github.com/jenkinsci/saml-plugin/pull/109","closed","2021-06-29T10:46:14Z","2021-06-29T11:20:01Z","Vlatombe","[JENKINS-66007] Filter out empty groups from the saml profile and issue a warning"
"jenkinsci","azure-ad-plugin","https://github.com/jenkinsci/azure-ad-plugin/pull/151","closed","2021-06-29T12:36:21Z","2021-06-29T12:55:00Z","timja","Trigger re-authentication when id_token missing"
"jenkinsci","datadog-plugin","https://github.com/jenkinsci/datadog-plugin/pull/222","closed","2021-06-29T08:01:53Z","2021-06-29T08:07:39Z","drodriguezhdez","Prepare release 3.0.0"
"jenkinsci","hpe-application-automation-tools-plugin","https://github.com/jenkinsci/hpe-application-automation-tools-plugin/pull/408","closed","2021-06-23T10:46:15Z","2021-06-29T08:04:58Z","dorin7bogdan","617005 [Jenkins Plug-in] Unhandled exception for ALM Test Sets that does not exist"
"jenkinsci","datadog-plugin","https://github.com/jenkinsci/datadog-plugin/pull/221","closed","2021-06-22T08:23:39Z","2021-06-29T07:45:51Z","drodriguezhdez","Enable CI Visibility UI"
"jenkinsci","helm-charts","https://github.com/jenkinsci/helm-charts/pull/402","closed","2021-06-29T02:48:34Z","2021-06-29T06:37:02Z","juliohm1978","Allow showRawYaml to be customized for the default agent's pod template."
"jenkinsci","docker","https://github.com/jenkinsci/docker/pull/1132","closed","2021-06-28T06:28:51Z","2021-06-28T21:53:45Z","timja","Update openj9 images (java 8 one no longer exists)"
"jenkinsci","atlassian-jira-software-cloud-plugin","https://github.com/jenkinsci/atlassian-jira-software-cloud-plugin/pull/58","closed","2021-06-29T01:45:23Z","2021-06-29T01:57:59Z","nsurendran1991","added changes to fix security vulnerability with credentials dependency"
"jenkinsci","compuware-ispw-operations-plugin","https://github.com/jenkinsci/compuware-ispw-operations-plugin/pull/83","closed","2021-06-17T15:07:47Z","2021-06-28T22:03:01Z","robertdavis789","Zeng 170958   -  rest api and jenkins utilize the container name that is now provided in the build response (part 2 of 2)"
"jenkinsci","opslevel-plugin","https://github.com/jenkinsci/opslevel-plugin/pull/1","closed","2021-06-28T15:26:56Z","2021-06-28T15:49:45Z","sergio-opslevel","Fix Tests on Windows 8"
"jenkinsci","environment-dashboard-plugin","https://github.com/jenkinsci/environment-dashboard-plugin/pull/179","open","2021-06-28T15:46:11Z",,"linjan","Fixed the typo to make the example work"
"jenkinsci","remoting","https://github.com/jenkinsci/remoting/pull/463","closed","2021-06-22T17:12:18Z","2021-06-26T23:27:08Z","jglick","Logging should be of `Request` which has a `toString`, not some anonymous `Runnable`"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5590","closed","2021-06-23T08:36:31Z","2021-06-28T11:31:48Z","daniel-beck","Remove unused resources"
"jenkinsci","docker","https://github.com/jenkinsci/docker/pull/1131","closed","2021-06-27T10:54:04Z","2021-06-28T06:42:59Z","timja","Update shellcheck"
"jenkinsci","docker","https://github.com/jenkinsci/docker/pull/1126","closed","2021-06-25T14:49:49Z","2021-06-28T06:42:38Z","dduportal","fix: allow test harness to run successfully with buildkit"
"jenkinsci","cloudevents-plugin","https://github.com/jenkinsci/cloudevents-plugin/pull/3","closed","2021-06-25T07:29:37Z","2021-06-28T01:40:25Z","ShrutiC-git","Change the implementation to use checkboxes in the UI"
"jenkinsci","jep","https://github.com/jenkinsci/jep/pull/368","closed","2021-06-22T10:52:24Z","2021-06-27T14:41:25Z","aHenryJard","[JEP-16] - Inclusive terminology guidelines and continuous updates"
"jenkinsci","git-client-plugin","https://github.com/jenkinsci/git-client-plugin/pull/718","closed","2021-06-26T13:33:40Z","2021-06-27T13:02:11Z","MarkEWaite","Remove outdated changelog"
"jenkinsci","docker","https://github.com/jenkinsci/docker/pull/1125","closed","2021-06-25T14:10:17Z","2021-06-27T10:17:20Z","timja","INFRA-3016 Pre-create volume for permissions propogation update"
"jenkinsci","platformlabeler-plugin","https://github.com/jenkinsci/platformlabeler-plugin/pull/381","closed","2021-06-27T03:22:31Z","2021-06-27T04:04:11Z","MarkEWaite","Use more precise Debian tags in Docker images"
"jenkinsci","metrics-aggregation-plugin","https://github.com/jenkinsci/metrics-aggregation-plugin/pull/7","closed","2021-06-26T16:34:56Z","2021-06-26T20:38:53Z","andipabst","enable incremental builds"
"jenkinsci","platformlabeler-plugin","https://github.com/jenkinsci/platformlabeler-plugin/pull/380","closed","2021-06-26T17:00:10Z","2021-06-26T17:14:57Z","MarkEWaite","Add Debian 11 test data"
"jenkinsci","platformlabeler-plugin","https://github.com/jenkinsci/platformlabeler-plugin/pull/379","closed","2021-06-26T13:22:42Z","2021-06-26T16:43:44Z","MarkEWaite","Use rhel7.9 test data"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5589","closed","2021-06-23T08:15:29Z","2021-06-26T13:42:55Z","olamy","Upgrade Winstone 5.19 which include Jetty 9.4.42.v20210604"
"jenkinsci","platformlabeler-plugin","https://github.com/jenkinsci/platformlabeler-plugin/pull/378","closed","2021-06-26T13:08:45Z","2021-06-26T13:24:08Z","MarkEWaite","Remove Fedora 32 test data"
"jenkinsci","platformlabeler-plugin","https://github.com/jenkinsci/platformlabeler-plugin/pull/377","closed","2021-06-26T13:04:25Z","2021-06-26T13:23:53Z","MarkEWaite","Remove Alpine 3.10 test data"
"jenkinsci","pom","https://github.com/jenkinsci/pom/pull/174","closed","2021-06-25T08:06:14Z","2021-06-25T08:16:28Z","timja","Rename old changelog - prevent GitHub UI showing to users"
"jenkinsci","azure-ad-plugin","https://github.com/jenkinsci/azure-ad-plugin/pull/150","closed","2021-06-25T20:28:52Z","2021-06-25T20:38:08Z","timja","Add instanceof check for disable graph integration"
"jenkinsci","memkins","https://github.com/jenkinsci/memkins/pull/5","closed","2021-06-25T18:13:06Z","2021-06-25T18:13:52Z","oleg-nenashev","Mob Tweeting at Jenkins Contributor Summit!"
"jenkinsci","jenkins","https://github.com/jenkinsci/jenkins/pull/5576","closed","2021-06-16T06:20:35Z","2021-06-25T08:23:37Z","basil","Remove unnecessary parentheses"
