GroupBy(user.login),count(org)
"Acaceres1996",1
"AlbanAndrieu",1
"AnastasiaKozachuk",1
"ArturHarasimiuk",2
"Avielyo10",1
"Avni-Sharma",1
"Bortulev",1
"BradPatras",1
"ChrisRBe",1
"DieAkuteSense",1
"EcHoOfInSaNiTy",2
"Elisedlund-ericsson",1
"Erwyn",4
"EstherAF",2
"Glen-Cocoa",2
"HCloward",1
"I3urny",1
"Jochen-A-Fuerbacher",4
"LeSuisse",3
"LinuxSuRen",7
"MMeent",1
"MRamonLeon",2
"MarckK",1
"MarkEWaite",39
"MichaelFrommberger",1
"MicroNovaAG",2
"MxKilian",1
"NoodlesNZ",1
"Orekaria",1
"PatrickRogg",1
"PhilippHomann",1
"RobinRSchulz",1
"SKroell",2
"Sagar2366",2
"StefanSpieker",1
"SuperKmar",2
"TWestling",1
"TobiX",10
"VinceCapodanno",1
"Vlatombe",11
"Wadeck",7
"XiongKezhi",1
"Yunir",9
"a-mellor",1
"aberkIBM",1
"adamdmharvey",3
"aheritier",2
"akram",4
"albers",1
"alecharp",2
"aliaandersen",1
"alibk0rd",2
"alxsap",1
"alyssat",3
"amezin",1
"amuniz",1
"andipabst",1
"aphatangade",1
"asimell",1
"astiglme",1
"aytuncbeken",1
"bartoszkaczkowski",1
"basil",4
"baymac",2
"bitmeise",1
"bitwiseman",1
"bloodearnest",1
"bmunozm",2
"bracketttc",1
"brianeray",1
"bryanateoan",1
"budelmann",1
"car-roll",2
"castnightlybuild",1
"ccHanibal",1
"chenguangfu",1
"choweiyuan",1
"chriskilding",3
"cidermole",1
"cizezsy",1
"colathurv",1
"cpoenisch",2
"crjenkins89",3
"cronik",1
"csssuf",1
"ctan-atlassian",2
"ctudor",1
"cwiggs",1
"cyrille-leclerc",1
"d3camp0s",3
"dancret",1
"daniel-beck",36
"danieltaub96",1
"daspilker",6
"dennisgu1",4
"djesionek",1
"dkjellin",1
"donhui",3
"dotcom-monitor",1
"drg2",1
"duemir",1
"dwnusbaum",17
"efhjnw0",5
"emizell",1
"ericcitaire",2
"escoem",3
"fqueiruga",5
"froque",1
"frvasquezjaquez",1
"gami74",1
"ghost",1
"goravjoshi",2
"guga4ka",2
"guilhermemota",1
"guysoft",1
"halkeye",7
"hughsaunders",1
"humphrey-parasoft",1
"ikedam",1
"ilpianista",1
"ite-klass",3
"ivarmu",1
"jacob-ablowitz",1
"jbergknoff-rival",1
"jbiel",1
"jbleduigou",3
"jcoste-orange",1
"jeffpearce",1
"jeffret-b",4
"jetersen",5
"jglick",31
"jhansche",1
"jimklimov",2
"jkhelil",1
"john-ekka",1
"johnl2323",1
"jorgeyanesdiez",1
"joseblas",6
"josiahp",1
"jpsecher",1
"jralonso",1
"jsoref",9
"jtnord",3
"julie-ng",1
"justinharringa",1
"jvz",1
"kailunc",1
"kedark3",1
"keesj-exset",1
"kevinric",1
"knapsu",2
"krufab",1
"kshtsk",1
"kshultzCB",2
"kuisathaverat",1
"lenaing",1
"lifemanship",1
"lik9653",1
"liuweiGL",2
"lllmaa",1
"lugowskii",1
"lukaskirner",1
"lukesantoro",1
"macghriogair",1
"marcus-held",1
"markyjackson-taulia",4
"martinda",4
"mat1e",1
"mattmurp",3
"mbaitelman",1
"megwill4268",1
"mezpahlan",1
"mhenschke-atl",1
"michael-baron",1
"mmalicki-deviniti",1
"modi1492",1
"mrmoritz01",1
"multani",1
"mythsunwind",1
"nadavye",3
"nbelliot",1
"neaguandrei101",1
"nfalco79",2
"nikita-bedmutha",10
"nxtn",4
"oehmiche",1
"olamy",5
"olblak",48
"oleg-nenashev",50
"olivergondza",5
"peinheber-mersive",1
"pelizza",3
"phaldan",1
"pjanouse",2
"pooja-singh-appscan",1
"r-powell-r7",1
"r2liquibase",1
"radislavB",5
"rantoniuk",1
"res0nance",3
"rettetdemdativ",1
"richardfriedman",1
"richbg",1
"rigsbyt",1
"rishabhBudhouliya",2
"robinsoc",3
"rodrigc",2
"romenrg",2
"rosiecki",1
"rpalcolea",2
"rsandell",1
"rschluecker",1
"rschuetz",1
"runzexia",9
"s1mple-child",3
"sahilrkalra",2
"salluvada",3
"sankar-natarajan",1
"scoheb",3
"sdorra",1
"seanchan",1
"sebok",1
"sghill",1
"shaikhu",1
"sharepointoscar",2
"shivaylamba",2
"sladyn98",1
"slide",17
"songlongcn",9
"sootysec",1
"stchar",7
"stellargo",4
"steven-terrana",4
"stopalopa",1
"sublee",1
"t-8ch",2
"tanmoyguha-hcl",3
"tgatinea",1
"this-is-r-gaurav",2
"thomas-dee",1
"timja",54
"tofir",1
"tomaszsek",1
"troymohl",1
"tszmytka",1
"tumevoiz",1
"twinderw",1
"tylersouthwick",2
"uhafner",11
"underscorebrody",1
"vaceletm",2
"varyvol",4
"venosov",1
"ventojna",1
"vgaidarji",3
"viceice",1
"vinitasanghi",1
"walker0921",1
"waveywaves",1
"wenjunzhangp",3
"williambrode",2
"willwh",1
"xuzhang3",3
"yJunS",6
"yacn",1
"young-s-park",1
"zbynek",4
"zhaoying818",5
"zhouqr2000",1
"zoobab",2
"zsprints",2
"zyoutz-r7",1
