GroupBy(user.login),count(org)
"AlexandruMaxim",3
"AlienHoboken",1
"Aurel",1
"CptLemming",1
"Denis1990",1
"Dohbedoh",2
"Flowdalic",1
"GAyan17",1
"GLundh",1
"LinuxSuRen",2
"MRamonLeon",19
"MarckK",11
"MarkEWaite",56
"PierreBtz",1
"Roy-Lu",1
"SagarGaniga",1
"Saluev",1
"Smasherr",1
"Vlatombe",1
"Wohra",1
"Wonno",1
"XiongKezhi",1
"aHenryJard",1
"aaronfay",1
"accelq",3
"addihorn",1
"agabrys",1
"aheritier",1
"airadier",4
"alecharp",13
"alejdg",1
"amuniz",1
"andham",1
"antoniaklja",2
"arcturus140",1
"arekfu",1
"arpoch",2
"artem-fedorov",1
"arturbosch",1
"asimell",5
"autero1",1
"basil",27
"benebsiny",1
"bertold",2
"bholden-r7",2
"bhunter",1
"bitwiseman",8
"bkhouri",1
"breedx-splk",1
"bulanovk",1
"cam-laf",1
"car-roll",3
"carlossg",3
"ccaspanello",2
"cdelmonte-zg",1
"charchil-gupta",1
"chriskilding",1
"coignetp",2
"cpoenisch",4
"cpt1gl0",1
"cyrille-leclerc",6
"daipresents",1
"damianszczepanik",3
"daniel-beck",39
"danieldanan",2
"darinpope",4
"dbnicholson",1
"dduportal",51
"dennisl",1
"dheerajodha",3
"dkjellin",5
"donhui",1
"drodriguezhdez",2
"duemir",2
"dwnusbaum",1
"eas5",1
"efhjnw0",1
"eugenelesnov",2
"felfert",5
"florimondmanca",1
"forticontainer",2
"fposchner-cc",1
"fr123k",2
"frozenfoxx",1
"garethjevans",76
"gorkat",2
"h1dden-da3m0n",3
"halkeye",13
"hazzik",3
"hp77-creator",1
"hrmohr",1
"hurzelpurzel",1
"hzh",1
"imonteroperez",1
"ispasov",2
"itay-kirshenboim",1
"jbdelpech",1
"jday29",1
"jeffret-b",6
"jeldert",1
"jetersen",1
"jglick",47
"jimklimov",3
"jre-lsft",1
"jrojasgon",1
"jsalinaspolo",1
"jstrachan",10
"jtnord",9
"judovana",2
"justnoxx",1
"jvz",1
"kellyrob99",1
"klxfeiyang",1
"kudos-dude",1
"kuisathaverat",5
"kwart",1
"kwin",5
"kyounger",1
"lalitKumarHCL",2
"liangxia",1
"luisgonzalex",5
"maduma",1
"magnusbaeck",1
"mahmoud-ashi",1
"malice00",2
"mamh2021",2
"marcin-kaniasty",1
"markyjackson-taulia",2
"mayocream",1
"mbarbero",1
"mezpahlan",1
"mhenschke-atl",1
"mhuijgen",1
"mkaring",1
"mmalicki-deviniti",2
"mpailloncy",1
"mrginglymus",4
"msven",1
"mtughan",1
"mythsunwind",1
"nbelliot",1
"niclan",1
"nigelarmstrong-bc",2
"nikita-bedmutha",4
"nilsmahlstaedt",1
"nohasaid",1
"nre-ableton",1
"nthienan",1
"ocsxxi",1
"olamy",13
"olblak",7
"oleg-nenashev",20
"omehegan",1
"ovasilko",1
"pbelskiy",1
"pfeuffer",2
"pgilad",1
"pjdarton",1
"prryb",1
"prydin",1
"r2liquibase",1
"radislavB",3
"rafalhejna",1
"rantoniuk",1
"rapatchi",1
"redturtlepower",1
"reinholdfuereder",1
"res0nance",3
"rhotau",1
"richbg",1
"rittneje",1
"rkeithhill",1
"rmkanda",1
"robertstreche",3
"rpionke",4
"rsandell",2
"rtonde-nv",1
"s-lal",1
"salaboy",2
"sbeaulie",1
"seanchan",1
"simonati",1
"slide",2
"srbala",1
"srnjak",2
"stellargo",1
"stevejulich",1
"steven-terrana",4
"sushobhit-lt",1
"syncdk",1
"synomtv",1
"szjozsef",2
"takashiharano",2
"tfennelly",1
"timja",61
"timoinstana",1
"tmoreland-r7",2
"tneer",1
"tofanadrian3000",1
"trash-80",1
"uhafner",8
"usmonster",1
"v1v",17
"vdoo-connected-trust-oper",1
"vgaidarji",1
"vidhithacker31",1
"vtintillier",5
"waveywaves",5
"wilrnh",1
"wwuck",1
"wyfaq",1
"xuzhang3",10
"yabberyabber",1
"ykhandelwal913",1
"yoerg",1
"zhaoying818",2
"zmanxiang",1
"zztalker",2
