GroupBy(user.login),count(org)
"613andred",2
"Conrad-T-Pino",1
"DaGeRe",1
"Dohbedoh",1
"Elbandi",1
"EugeneLugovtsov",1
"GLundh",4
"Hellspam",1
"Lironrad",1
"MarkEWaite",40
"Morion-Self",1
"NotMyFault",33
"R3dIO",1
"Russell616",3
"Schattensilber",1
"Si-So",1
"Sig00rd",2
"StackScribe",2
"StefanSpieker",5
"SubhadraSahoo",1
"SylwiaBrant",1
"TT-S3-D1",2
"Thomah",1
"TonyNoble",2
"Vlatombe",11
"Wadeck",1
"Zastai",1
"Zsolt-Lukacs22",1
"a-melnyk",1
"aHenryJard",3
"abayer",2
"agabrys",1
"ahmetrehaseker",2
"aiotcms",1
"alecharp",1
"amuniz",1
"aphatangade",4
"ascheman",1
"askalski85",1
"avidspartan1",1
"basil",251
"batmat",2
"bertold",1
"bguerin",4
"bhartshorn",1
"bilalvdemir",2
"bitrunner",1
"bleibdirtroy",1
"blubzel",1
"bob-rohan",2
"brusdev",1
"car-roll",25
"cardil",1
"cathychan",5
"cha5on",2
"ckearney-r7",2
"ckipp01",1
"cniweb",1
"cyberark-bizdev",1
"cyrille-leclerc",19
"daniel-beck",18
"darxriggs",1
"dawidmalina",4
"dduportal",27
"dennisgu1",1
"dheerajodha",1
"diegoperini",7
"dkjellin",1
"dkozubik",1
"dmoduarte",1
"durandx",1
"dwnusbaum",5
"eduard-tita",1
"eljo",1
"eltociear",1
"ewelinawilkosz",1
"faceless7171",1
"five-iron",1
"fo-code",2
"fractal9",1
"gcuisinier",2
"glebiller",1
"guillaumebrunerie",1
"guysoft",1
"halkeye",55
"hasansimsekinvicti",1
"hchakrouun",1
"hectorhuol",2
"igreenfield",1
"imonteroperez",4
"inidona",1
"itwake",1
"jameslafferty",1
"jandroav",1
"janfaracik",4
"jay-hershkowitz",2
"jenkins-x-bot",1
"jetersen",7
"jgedarovich",1
"jglick",45
"jimklimov",1
"jmMeessen",1
"jonsten",1
"jsupun",2
"judovana",1
"justusbunsi",3
"jvz",1
"karenewlees",1
"kenrachynski",1
"kinow",1
"klimas7",1
"kohtala",1
"krische",1
"kristofkessler",1
"krulls",1
"krzysztof-moscichowski-smartbear",1
"lemeurherve",53
"lisotton",1
"lusee88",1
"magnusbaeck",1
"makropod",1
"margaritalm",1
"mcohen11",18
"meebok",1
"meiswjn",1
"mglazer",1
"mguillem",1
"mhenschke-atl",2
"mig42",2
"mmalicki-deviniti",1
"moritzbeck05",1
"multani",1
"nestoracunablanco",1
"neworld",1
"nfalco79",2
"nichiporenko",1
"nissimshitrit",3
"nitheshrayuduv",1
"nitinjirawal",1
"noxo",1
"offa",10
"olamy",2
"oleg-nenashev",1
"olivergondza",1
"orjan",2
"pBogey",1
"pfbco",1
"philippart-s",1
"pjdarton",1
"presPetkov",1
"psig-bah",1
"rahulsom",2
"reda-alaoui",6
"repolevedavaj",6
"rimuln",1
"rishi-104276",2
"rjaiswal180",3
"rkosegi",1
"ronny-stauffer",1
"sachinmaske",3
"sams-gleb",1
"sarah-witt",5
"sboyd-synopsys",2
"sbuhary",2
"selcuksozuer",4
"sfryffdc",1
"sig-saraf",1
"sinback",1
"skorhone",1
"slide",1
"slim-patchy",1
"smerle33",4
"songlongcn",1
"sparsick",1
"stu01509",1
"surgat",1
"sushobhit-lt",1
"svasek",1
"thecooldrop",3
"theirix",1
"thomasnemer",1
"timja",45
"tmoreland-r7",1
"tomjshore",5
"torstenwalter",3
"twasyl",1
"twz123",1
"uhafner",18
"v1v",4
"wazery",1
"yasuyuki-baba",1
"zbynek",2
