GroupBy(user.login),count(org)
"0xDAFE",1
"ADI10HERO",5
"APEdevelopment",1
"Aki-7",20
"BirSikanderMahajan",3
"ChenZhangg",3
"DanaMaxfield",4
"Dohbedoh",2
"Elbandi",1
"Erwyn",2
"Fearxpc",1
"HeikoNardmann",1
"JoaoPPinto",1
"KorusMateusz",1
"Lakhtenkov-iv",1
"LinuxSuRen",1
"MarckK",1
"MarkEWaite",35
"MartinGroscheTT",1
"NickCharsley",1
"NotMyFault",1
"PierreBtz",1
"Roy-Lu",1
"ShrutiC-git",2
"Sig00rd",15
"StefanSpieker",4
"TimSVector",2
"VPapazyan",1
"Vlatombe",4
"YunLemon",1
"airadier",1
"aitorpazos",1
"ankk13",2
"arpoch",3
"arunpandurangan",1
"asimell",1
"aubelix",1
"aytuncbeken",1
"basil",65
"bednar",1
"benebsiny",1
"bensagi",2
"bhavani-velivala-sn",1
"bluesliverx",1
"bmunozm",1
"bryanateoan",1
"candiduslynx",1
"car-roll",3
"cburne-oshyn",1
"cghislai",1
"chriskilding",1
"clipitar",1
"codesuki",1
"cyberark-bizdev",5
"cyrille-leclerc",2
"damianszczepanik",4
"daniel-beck",9
"darxriggs",2
"davidt",1
"dduportal",37
"dennisgu1",2
"dhandapani-hd",5
"dheerajodha",2
"dkjellin",2
"dorin7bogdan",2
"drodriguezhdez",4
"dudi-peer",2
"duemir",4
"dwnusbaum",1
"edrevo",1
"eltociear",2
"ernetas",1
"ewelinawilkosz",1
"fabiogomezdiaz",1
"fatmcgav",1
"fcojfernandez",1
"felfert",1
"fjgarciao",1
"fposchner-cc",3
"fugkco",1
"halkeye",2
"haugenj",3
"hectoralicea",1
"hmarkc",4
"hsitter",1
"ikedam",2
"ilavender",1
"inakoll",1
"ironcerocloudbees",1
"jahed-snyk",2
"jakub-bochenski",2
"janfaracik",7
"jay-hershkowitz",7
"jenkins-x-bot-test",2
"jetersen",1
"jglick",8
"jorgenpt",1
"jsearby",1
"jstmlr",1
"jtnord",10
"juanpablo-santos",1
"justnoxx",1
"kinow",1
"knisht",1
"koraytugay",1
"kripajoym",3
"ksenia-nenasheva",1
"kuisathaverat",4
"lschwahn",1
"ltamaster",1
"magarnicle",1
"magnusbaeck",5
"malena-ebert-sonarsource",1
"mat1e",4
"mcamposv",1
"mcgin",4
"mguillem",2
"mhenschke-atl",2
"michaelgrosser",2
"mickael-caro-sonarsource",1
"mortenbirkelund",1
"mthaddon",1
"multani",1
"mymarche",1
"nagyo",1
"nbelliot",1
"nslowell",1
"nsurendran1991",1
"offa",12
"olamy",3
"olblak",6
"oleg-nenashev",1
"olivergondza",3
"oliverlockwood",1
"orrc",3
"ovsyannikovviva64",1
"philippart-s",3
"pjdarton",1
"pramodanarase",1
"prryb",1
"quilicicf",1
"radislavB",3
"ramarahul",1
"reda-alaoui",2
"reggiev",1
"reinholdfuereder",1
"rishi-104276",4
"robertstreche",1
"robinsoc",7
"rolaca11",1
"s-sr1",1
"saiyam1814",1
"sangamchitmugre",1
"sbuhary",3
"seanly",1
"sharils",2
"sharmapulkit04",2
"simschla",1
"slide",1
"stuartmallan",1
"swesteme",1
"techlunacy",1
"thomasgl-orange",1
"timbrown5",1
"timja",54
"tomasbjerre",1
"toneill818",1
"torstenwalter",1
"tschlue",1
"tszmytka",2
"twz123",1
"uhafner",24
"vidhithacker31",1
"xwz123",4
"yangxylab",2
"ysun-atl",1
"zbynek",9
"zuzuviewer",1
