GroupBy(user.login),count(org)
"Absh-Day",1
"AlessandroMenti",1
"Azrael808",1
"Bortulev",1
"DieAkuteSense",2
"Dohbedoh",3
"Elisedlund-ericsson",1
"Erwyn",2
"FlorianVeaux",5
"HeroCC",1
"Jasstkn",1
"LeSuisse",1
"LinuxSuRen",2
"Lucas-C",1
"MOldenbourg",2
"MRamonLeon",4
"MadsJakobsen",1
"MarcelBB",1
"MarkEWaite",34
"MartinGroscheTT",3
"Nuru",1
"PatrickRogg",1
"Paullo612",1
"PavelKondratiev",1
"PhilippHomann",1
"PierreBtz",2
"RonVorndam",1
"RoniSegal",1
"Roy-Lu",1
"Russell616",3
"StefanSpieker",3
"SumoSourabh",2
"TimRots",2
"TobiX",1
"Vlatombe",15
"Wadeck",1
"XiongKezhi",1
"Zastai",8
"abayer",1
"adrienzieba",1
"afalko",1
"aheritier",1
"alb-i986",1
"albertxie",1
"alecharp",2
"alejdg",2
"alfabravoteam",1
"amuniz",3
"andau",3
"andreizet",3
"apottere",1
"artms",1
"ashish-thakur07",1
"aslaakso",1
"astiglme",1
"aytuncbeken",4
"bartdevriendt",1
"bartoszkaczkowski",1
"basil",17
"baymac",3
"bertold",5
"bgermann",1
"bitwiseman",12
"blakmajk",2
"bombshockdubstep",1
"bryanateoan",2
"buddhikac96",1
"car-roll",2
"cdelmonte-zg",2
"chanukov",1
"charchil-gupta",1
"cheerfyt",1
"chillaq",3
"chriskilding",4
"clywyk",1
"collinpeters",1
"contactsaurabh",1
"cpfeiffer",1
"cpoenisch",1
"cpt1gl0",1
"crd477",1
"cswatt",1
"cx-muhammed",2
"damianszczepanik",2
"daniel-beck",15
"darxriggs",2
"daverted",1
"dennisgu1",8
"divivitaly",1
"dmoduarte",1
"dwnusbaum",6
"eduard-tita",3
"eldarkra",1
"fabiodcasilva",4
"fcojfernandez",1
"fqueiruga",9
"gcuisinier",1
"getJv",7
"ghannamz",1
"ghost",1
"goravjoshi",1
"guidograzioli",2
"h1dden-da3m0n",2
"halkeye",12
"hoky841023",1
"horodchukanton",5
"ikedam",4
"ionutzaharia",1
"iptizer",1
"isaac-s",4
"ispasov",1
"itay-kirshenboim",1
"jamesrwhite",1
"jeffret-b",4
"jeschkies",1
"jetersen",5
"jglick",30
"jgoering41",8
"jimklimov",1
"johan1252",1
"johnou",2
"jonsten",1
"jtnord",3
"julian-alarcon",1
"julian-haase",1
"justinharringa",1
"justnoxx",3
"jvz",9
"kaiwalyajoshi",1
"kamatsuoka",1
"kennyg",1
"kerogers-cloudbees",2
"kiam123",1
"kinow",1
"kuisathaverat",3
"kumbasar",2
"kwening",1
"lifeofguenter",1
"lik9653",1
"lionelraeymaekers",1
"liuweiGL",2
"lper1582",24
"lukaskirner",2
"macghriogair",2
"majdmah",4
"markyjackson-taulia",3
"martonilles",2
"matrozov",1
"mattmurp",4
"maxjeffos",1
"maybeec",1
"mbarbero",1
"mecseid",1
"megathaum",1
"mgarabed",1
"mhenschke-atl",8
"michaelboyles",1
"mmalicki-deviniti",3
"nxtn",1
"olamy",10
"olblak",47
"oleg-nenashev",64
"olivergondza",3
"orrc",2
"ovasilko",7
"parentgabriel",1
"pathob",1
"pavel-snyk",1
"pgmillon",2
"phedoreanu",1
"pirluq",1
"pjona",1
"plavc",3
"pooja-singh-appscan",2
"qc2105",1
"radislavB",4
"rahulsom",1
"ralphnuessecpwr",1
"rantoniuk",1
"raul-arabaolaza",3
"relyafi",1
"rgroothuijsen",1
"ricksbrown",1
"rishabhBudhouliya",4
"rnikoopour",1
"robinsoc",6
"rottebds",1
"rsandell",2
"s-morita-being",1
"sarah-witt",12
"schottsfired",2
"scophotog",1
"sgrillon14",1
"shaowenchen",2
"skundrik",5
"sladyn98",20
"slide",7
"smnsch",1
"stellargo",25
"stikonas",1
"sunweisheng",1
"synhal",5
"takashiharano",1
"tanmoyguha-hcl",1
"thomasgl-orange",2
"thomasmatzke",1
"timja",48
"timsotack",2
"topikachu",5
"torutk",1
"tszmytka",3
"tumevoiz",1
"uhafner",20
"uparulekar",2
"varyvol",2
"vazhnov",1
"vikulin",2
"vip20",1
"vodriemf",1
"vrnvikas",2
"vshih",1
"vsilverman",4
"waveywaves",1
"wentwrong",2
"wuillaum",1
"xela-jm",1
"yashj21",2
"yeulih",1
"young-s-park",1
"zbynek",7
"zhaoying818",2
"zhouqr2000",1
