GroupBy(user.login),count(org)
"AayushSaini101",9
"Absh-Day",2
"AlexandreAllemand",1
"AndriiChuzhynov",1
"Ankit098",1
"Bilgetz",1
"ChadiEM",1
"Cr1t-GYM",10
"DJCoding",1
"Dainerx",1
"Dohbedoh",2
"ErikRehmTT",1
"Erwyn",3
"EthanZillinger",1
"Go-to-bed-at-12",1
"Hinterwaeldlers",1
"Hrushi20",1
"JLLeitschuh",1
"Langer0416",2
"LeSuisse",2
"LeoQuote",1
"MarkEWaite",50
"MartinGroscheTT",2
"Martinez1991",1
"MattLud",1
"Minh-Chien",1
"NotMyFault",69
"Pldi23",2
"SOOS-JAlvarez",1
"Schattensilber",1
"Skiepp",3
"StefanSpieker",6
"TheRaspyDev",1
"TimSVector",1
"UkonnRa",1
"ViliusS",1
"Vlad1mir-D",1
"Vlatombe",7
"Wadeck",1
"YashPimple",1
"aditya-qualys",3
"ahmadiesa-abu",1
"ajarzyn",1
"albertvaka",1
"alecharp",4
"alyssat",1
"asimell",3
"basil",128
"benebsiny",1
"bguerin",4
"bhavani-velivala-sn",2
"bluesliverx",2
"buchi-busireddy",1
"c00ler",8
"c0d3m0nky",1
"car-roll",3
"cavissonsystems",2
"centic9",1
"cesan3",14
"chriskilding",1
"chuemb",1
"cpfeiffer",1
"cronik",1
"curveenk",1
"cwellmtt",1
"cyrille-leclerc",3
"damianszczepanik",1
"daniel-beck",29
"danieled-it",3
"danrobinson21",1
"dcoraboeuf",1
"dduportal",36
"dheerajodha",2
"didushko",1
"dkjellin",1
"donhui",2
"dorin7bogdan",2
"drauch",1
"duemir",4
"dwnusbaum",3
"eduard-tita",1
"electricthunder",1
"escoem",1
"felipecrs",1
"filip-daca",1
"flexagon9",10
"fo-code",3
"forticontainer",1
"francisf",2
"frankie139506",2
"froque",1
"ganeshborle",7
"gitter-badger",1
"gounthar",5
"grogersxyz",2
"halkeye",7
"hashar",1
"hectorhuol",4
"henrique",1
"ilandn",1
"jamie-pate",1
"janfaracik",12
"jay-hershkowitz",4
"jdelnano",1
"jdkandersson",3
"jenkins-infra-bot",3
"jglick",16
"jimklimov",1
"jjasghar",1
"jmMeessen",30
"joel-f-brown",2
"joelbricker",1
"jonaslind",1
"jonesbusy",5
"jorgenpt",1
"joycebrum",1
"jragula-zs",1
"jrichman-r7",3
"jsupun",2
"jtnord",4
"julieheard",2
"klimas7",1
"kmartens27",22
"kozell",1
"krisstern",5
"ktsiligkiris",1
"kuisathaverat",2
"kutzi",1
"lemeurherve",94
"loganmzz",1
"lprimak",2
"lucajung",1
"lupalby",1
"mably",1
"markyjackson-taulia",1
"maskedpirate",1
"mat1e",1
"maura-e-ardden",1
"mawHBT",1
"mawinter69",1
"maxnitze",2
"mbaitelman",1
"mdecourcey",1
"mgiamberardino",2
"mhenschke-atl",2
"mherro-oak9",2
"michael-doubez",1
"mikedld",7
"mohanisch-sixt",1
"msulland",1
"mveunen",1
"narcotics726",1
"nfalco79",1
"nikita-bedmutha",4
"nikitakasatkin44",1
"nissimshitrit",1
"normAlaskari",1
"offa",21
"olamy",4
"olblak",1
"olivergondza",3
"omehegan",1
"pascal-hofmann",1
"patbos",1
"patrickpichler",1
"paulsavoie",1
"pdxjohnny",1
"pedringcoding",1
"pkchuyen",1
"r0ushann",1
"rafalhejna",1
"raul-arabaolaza",2
"res0nance",7
"ridemountainpig",2
"rishi-104276",1
"riywo",13
"rkosegi",2
"rrjjvv",1
"rsandell",5
"sarah-witt",1
"sashashura",1
"sboardwell",3
"scadu",1
"seym45",1
"sgybas",1
"simonsymhoven",23
"slide",4
"smerle33",32
"sonatype-ci",2
"sorin-florea",4
"ssj17vegeta",1
"steven-aerts",1
"steven-terrana",1
"strangelookingnerd",5
"sumitnigade",1
"sunnyqeen",1
"swatipersistent",1
"tanujdevops",4
"thabok",1
"thombergs",2
"timbrown5",9
"timja",22
"tkensiski",1
"twildber",1
"tylercamp",1
"uhafner",17
"umeshwaghode",1
"unlikezy",1
"vbugale",1
"vihaanthora",2
"vishalhcl-5960",1
"weisun10",13
"wolfs",1
"wuillaum",1
"xadozuk",1
"yaming116",2
"zbynek",10
"zhujunling-nj",2
