GroupBy(user.login),count(org)
"AmineAML",1
"Andre-K42",1
"Brick7Face",1
"ClaudiuCudla",1
"CoreyBuckley",1
"Dan-Heath",18
"Dohbedoh",4
"DreierF",1
"Erwyn",2
"EtienneG",2
"Greybird",1
"HelderMagalhaes",3
"Imolai",2
"Kalmalyzer",1
"Kevin-CB",1
"Lironrad",1
"Ln11211",1
"MadsJakobsen",3
"MarckK",1
"MarkEWaite",69
"Mr-DG-Wick",8
"NikolasFunction",2
"NotMyFault",14
"P4uline",2
"Pldi23",2
"RokLenarcic",1
"SUCHITRAGIRI",1
"SandunWebDev",1
"Sayanta66",1
"Sig00rd",2
"Soumya-UB",1
"StackScribe",7
"StefanSpieker",22
"SubhadraSahoo",2
"Tjuri",3
"TobiX",9
"TorstenKruse",1
"Vlatombe",28
"VolodymyrFesenko",1
"Wadeck",5
"Zsolt-Lukacs22",3
"aHenryJard",11
"ababushk",1
"abhijeet007rocks8",1
"abmohantyj",1
"airadier",1
"alauregaillard",8
"aman-raza",1
"amandel",10
"amuniz",1
"aneveux",11
"annapoornimoorthy",1
"anoopmsivadas",1
"avinashupadhya99",3
"bachue",1
"basil",87
"batmat",6
"benebsiny",2
"bertold",2
"bgvozdev",1
"bhavani-velivala-sn",2
"bhecquet",1
"bitwiseman",1
"bleibdirtroy",2
"bmunozm",2
"bmwiedemann",1
"bncbhm",2
"brandonflittner",1
"carlos-sandoval-11",1
"cathychan",1
"ccureau",1
"cdelmonte-zg",1
"chhaosh",1
"chrisdaid",1
"chriskloe",1
"cyberark-bizdev",1
"cyrille-leclerc",3
"damianszczepanik",3
"daniel-beck",8
"darinpope",18
"darxriggs",7
"dduportal",48
"dennisgu1",2
"dheerajodha",2
"didiez",4
"dorin7bogdan",4
"drealecs",1
"driverpt",1
"drodriguezhdez",3
"duemir",1
"eltociear",1
"enriquegh",1
"falkena",2
"fatmcgav",1
"felipecrs",1
"fheyng",1
"fposchner-cc",2
"froque",5
"ganeshborle",1
"gyula-s",1
"h1dden-da3m0n",2
"halkeye",20
"haugenj",1
"hazzik",1
"highflyer910",1
"ikedam",3
"imonteroperez",3
"imuqtadir",4
"j3t",1
"jack-w-shaw",1
"jahed-snyk",1
"jameeluddin",4
"jamesD33064",1
"jameslafferty",1
"jamietanna",2
"jandroav",1
"janfaracik",4
"jenkins-x-bot",2
"jetersen",1
"jglick",32
"jphaws",1
"jtnord",10
"juanmacoo",1
"justinharringa",2
"justusbunsi",1
"jwalteri",1
"kerogers-cloudbees",1
"khughes-atlassian",3
"kinow",3
"kturetzky",1
"lafriks",2
"laurentiucocanu",1
"lboclboc",1
"lcontzen",1
"lemeurherve",39
"leoluk",1
"littletof",1
"manut",1
"marc-tranzer",1
"marioja",2
"mcamposv",1
"mealingr",1
"megathaum",2
"meiswjn",1
"mhenschke-atl",6
"mherro-oak9",2
"mikecirioli",1
"mkemmerz",2
"mmalicki-deviniti",1
"mthaddon",1
"multani",1
"narcoticfresh",1
"nom3ad",1
"noviicee",2
"nre-ableton",1
"offa",12
"olamy",6
"olblak",7
"oleg-nenashev",13
"olivergondza",2
"outbreaker",1
"panzo",1
"philippHecht98",1
"philippart-s",1
"pkwarren",1
"ppaul-square",1
"psig-bah",3
"radislavB",4
"rajanssingh",1
"raleigh-rinehart",2
"raptorsin6",1
"raygolden",1
"reda-alaoui",1
"res0nance",9
"rishi-104276",5
"robinsoc",2
"rsandell",2
"rsvoboda",4
"sagarkhushalani",1
"sajimon",1
"sandyiscool",1
"sfosterdw",1
"sg3629",1
"sghill",2
"shaneog",1
"sharkister",1
"slaboure",4
"slide",7
"snieguu",2
"sotona-",1
"spacedog",1
"spike-rabbit",1
"steven-terrana",7
"strangelookingnerd",2
"stu01509",1
"superlama",1
"swiip81",1
"tatoberres",7
"timja",41
"tomeks666",1
"torstenwalter",2
"tynril",1
"tzachs",1
"uday4923",2
"uhafner",13
"v1v",9
"w-gates",3
"xHeliotrope",1
"yaroslavafenkin",1
"yasuyuki-baba",3
"yuezhuangshi",2
"zbynek",3
"zealotous",1
"zittix",1
"zsprints",1
