GroupBy(user.login),count(org)
"1c3t3a",1
"AlexandruMaxim",2
"ArieLevs",1
"BradNewton",2
"ChristineTChen",1
"ClaytonHughes",1
"Dohbedoh",3
"FlorianVeaux",1
"GLundh",2
"Gammal-Skalbagge",1
"HYmian",1
"Hickstone",1
"Jochen-A-Fuerbacher",3
"KorusMateusz",1
"L-Karimi",2
"LEDfan",1
"LeSuisse",3
"LinuxSuRen",1
"M-r-A",1
"MRamonLeon",3
"MarckK",4
"MarkEWaite",44
"Noham1412",2
"Onyimatics",6
"ParadoxShmaradox",1
"PierreBtz",4
"Quanyails",1
"Queen-esther01",6
"RiederAlex",1
"RubenNL",1
"StefanSpieker",4
"SunBlack",1
"SylwiaBrant",3
"TheImplementer",1
"TurboLuke",1
"Vlatombe",5
"Wadeck",2
"Zastai",3
"aHenryJard",8
"aaronwalker",2
"abhilashjoseph",1
"agaudreault-jive",2
"aheritier",2
"aiotcms",1
"airadier",3
"alecharp",4
"alkazar",1
"amedee",1
"amuniz",2
"antoniaklja",1
"asc3ns10n",1
"asimell",1
"bashbers",1
"basil",22
"benebsiny",1
"bguerin",2
"bitwiseman",4
"bmunozm",3
"bryanateoan",1
"calvinpark",1
"camshoff",1
"car-roll",13
"cedricziel",1
"cfereday",1
"charchil-gupta",1
"chenhuahuan",1
"chrishiner",1
"ciradu2204",5
"cokieffebah",1
"cpoenisch",3
"cwholmes",1
"damianszczepanik",3
"daniel-beck",49
"darinpope",1
"david0",1
"dcendents",1
"dduportal",39
"dennisl",1
"dkjellin",2
"donhui",3
"drodriguezhdez",5
"dwnusbaum",1
"efhjnw0",1
"eldarkra",1
"emilaasa",1
"ericcitaire",1
"famod",1
"favnc",1
"fbelzunc",3
"forticontainer",1
"fossdd",1
"fposchner-cc",1
"fredg02",1
"fredyw",1
"garethjevans",58
"gbonnefille",3
"guillermo-varela",1
"guysmoilov",3
"halkeye",13
"hauke-d",1
"hikkyXII",1
"hoffa",1
"horodchukanton",1
"hrmohr",2
"iliasaddab",1
"ispasov",1
"jameslafferty",4
"janezhango",1
"jay-hershkowitz",3
"jebitok-dev",1
"jeffret-b",1
"jenkins-x-bot-test",2
"jflinchbaugh",1
"jglick",29
"jimklimov",5
"jinogueiraa",1
"jonesbusy",1
"jplayout",1
"jstrachan",1
"jtnord",14
"judovana",1
"justinharringa",1
"jvale",1
"jvz",1
"kamilgo",4
"kazuhidet",1
"kcyeu",1
"kerogers-cloudbees",1
"kozell",1
"krische",2
"ktaborski",1
"kudos-dude",1
"kweide",1
"lalitKumarHCL",1
"laurentiucocanu",2
"lenslord",1
"liangxia",6
"ljackiewicz",2
"lloydchang",1
"longping-t",1
"lvaikunt",1
"mahmoud-ashi",1
"marcperemiquel",1
"mashinarius",1
"maxlaverse",1
"mbriand",1
"mcansozeri",1
"mehmetcantula",2
"mezpahlan",1
"mflm30",1
"mgarabed",1
"mhenschke-atl",2
"michelzanini",1
"missingcharacter",2
"mkumar-quest",1
"mmalicki-deviniti",1
"mobangjack",1
"monluk",1
"mrrsm",1
"msglueck",1
"msven",1
"mtughan",1
"multani",1
"mustafau",3
"nbelliot",1
"nigelarmstrong-bc",3
"nikita-bedmutha",7
"nils91",1
"nohasaid",1
"offa",1
"ofosos",1
"olamy",10
"olblak",26
"oleg-nenashev",28
"olivergondza",3
"orrc",1
"pavel-snyk",1
"peterbecich",1
"pjdarton",2
"pniederlag",1
"prryb",3
"qkflies",1
"radislavB",3
"raghavgarg098",3
"raul-arabaolaza",2
"rbywater",1
"redoxate",2
"reftel",1
"reinholdfuereder",2
"res0nance",6
"rfvmonteiro",1
"rmkanda",1
"robertstreche",3
"robinsoc",4
"rpalcolea",1
"rsandell",2
"s-lal",2
"sam808",1
"scddev",2
"simonsymhoven",8
"slide",4
"songlongcn",1
"steven-terrana",6
"sylvain-brun",1
"takashiharano",1
"tarioch",1
"tarree",1
"tbeu",1
"tequilarista",2
"thomasgl-orange",1
"timbrown5",1
"timja",43
"timsutton",1
"tmoreland-r7",1
"twasyl",7
"uhafner",14
"usmonster",1
"v1v",8
"vazhnov",1
"vidhithacker31",1
"vincentrussell",1
"woodongwong",1
"zbynek",1
"zestyroxy",1
"zhaoying818",1
"zztalker",2
