Submitter,Total_PRs
nicolas-grekas,4084
OskarStark,1502
weaverryan,1414
stof,1352
fabpot,1207
javiereguiluz,1013
carsonbot,593
alexandre-daubois,551
derrabus,534
kbond,366
xabbuh,326
GromNaN,319
wouterj,272
lyrixx,268
chalasr,267
github-actions,248
94noni,213
smnandre,213
dunglas,208
MatTheCat,200
ro0NL,187
WebMamba,163
alamirault,162
HeahDude,149
HypeMC,136
fancyweb,133
mtarld,122
Spomky,117
yceruto,103
VincentLanglet,96
maxbeckers,94
Koc,94
jmsche,91
alexislefebvre,87
ruudk,83
