,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04
erichaagdev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,6,24,4,4,32,14,8,2,4,2,6,5,3,4,2,6,0,6
tylerbertrand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,12,18,8,5,3,1,2,2,0,0,0,1,3
cdsap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,3,16,15,9,9,4,3,4,1,4,2,8,1,8,1,3,7,1
clayburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,3,5,0,3,4,7,3,1,12,7,8,1,0,0,18,2,0,1,2,1,3,0,12
adammurdoch,8,14,16,14,23,15,16,5,9,9,9,4,0,0,1,8,8,8,7,9,4,14,11,10,3,5,7,5,6,2,7,4,11,6,10,18,5,3,6,6,9,3,0,1,0,0,1,2,1,10,1,11
6hundreds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,3,3,1,9,3,3,3,7,1,7,3,2,5,4,0,3,1
welandaz (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,5,1,1,0,3,1,0,0,9,1,3,6,5,7
alextu (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,3,2,10,5,24,8,2,4,6,6,0,3,18,2,3,0,0,0,0,1,1,2,2,1,0,1,2,1,10,11
ghale,0,1,0,1,4,2,1,3,2,0,2,1,2,3,1,2,1,3,5,3,0,0,1,1,1,1,5,4,1,1,1,0,3,1,4,12,9,7,8,5,4,2,7,2,2,0,2,2,3,1,1,6
FrauBoes (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,9,6,7,4,1,0,0,0,0,0,0,0,0
etiennestuder (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,16,0,5,2,1,6,0,0,0,0,0,0,0,1
