,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
cobexer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,18,4,35,25,7,18,1
pshevche (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,4,0,1,0,9,5,1,0,19,10,1,4,80,23,0
jbartok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,7,33,2,11,8,34,18,5,9,1,6,62,34,47,39,18,20,45,38,39,13,21,8,30,28,3,4,4,21,4,9,0
jprinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,8,7,19,7,23,17,0,8,1,10,17,18,9,24,26,20,9,1,10,7,10,38,8,4,1,13,7,20,9,0
erichaagdev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,34,50,30,5,84,103,6,0,0,9,9,17,6,6,11,2,52,5,0
h0tk3y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,23,1,33,36,18,20,5,2,28,31,2,24,23,4,21,5,4,0,0,4,14,17,0
welandaz (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,0,6,3,9,7,24,18,0
alextu (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,0,6,20,12,5,0,1,13,7,1,10,1,3,14,0,1,0,3,6,0,0,5,1,1,1,2,6,32,13,0
github-actions (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,148,0,17,3,0,2,0,1,9,0,4,14,8,11,14,3,10,6,7,7,18,10,19,10,0,3,0,0,0,0,0,0
etiennestuder (churned),0,0,0,0,2,6,1,6,26,1,0,0,50,14,1,29,8,38,14,12,2,15,28,2,14,65,47,52,27,19,25,10,8,57,45,17,3,4,158,130,2,12,7,23,4,1,3,0,0,4,0,1,0
tylerbertrand (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,42,2,0,6,5,0,3,11,0,0,2,1,2,0
JLLeitschuh (churned),10,7,9,11,0,9,6,16,60,37,111,47,25,26,26,8,4,0,0,0,5,4,46,30,2,0,8,1,0,1,0,0,0,0,0,0,1,3,9,37,8,4,10,6,0,0,2,1,10,6,0,0,0
jthurne (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,11,21,19,0,0,0,1,1,1,0,6,13,1,20,17,0,3,65,5,5,28,3,52,11,5,12,1,0,0,0,0,0,2,2,0,2,0
