PR_ref,commenter,month
"gradle/native-platform/75","blindpirate","2020-01"
"gradle/guides/325","donat","2020-04"
"gradle/native-platform/74","lptr","2020-01"
"gradle/native-platform/74","wolfs","2020-01"
"gradle/native-platform/74","wolfs","2020-01"
"gradle/native-platform/74","lptr","2020-01"
"gradle/native-platform/74","wolfs","2020-01"
"gradle/native-platform/74","lptr","2020-01"
"gradle/native-platform/74","lptr","2020-01"
"gradle/gradle/12059","melix","2020-01"
"gradle/gradle/12059","jjohannes","2020-01"
"gradle/gradle/12057","bamboo","2020-01"
"gradle/gradle/12057","eskatos","2020-01"
"gradle/gradle/12057","bamboo","2020-01"
"gradle/native-platform/72","lptr","2020-01"
"gradle/gradle/12055","ljacomet","2020-01"
"gradle/gradle/12055","jjohannes","2020-01"
"gradle/gradle/12052","pioterj","2020-01"
"gradle/gradle/12052","melix","2020-01"
"gradle/gradle/12052","jlstrater","2020-01"
"gradle/gradle/12052","melix","2020-01"
"gradle/gradle/12052","pioterj","2020-01"
"gradle/gradle/12052","melix","2020-01"
"gradle/gradle/12052","pioterj","2020-01"
"gradle/gradle/12052","melix","2020-01"
"gradle/gradle/12050","jjohannes","2020-01"
"gradle/gradle/12048","bamboo","2020-02"
"gradle/gradle/12048","bamboo","2020-02"
"gradle/test-retry-gradle-plugin/23","ldaley","2020-01"
"gradle/test-retry-gradle-plugin/23","ldaley","2020-01"
"gradle/test-retry-gradle-plugin/22","ldaley","2020-01"
"gradle/test-retry-gradle-plugin/22","jkschneider","2020-01"
"gradle/test-retry-gradle-plugin/22","jonnybbb","2020-01"
"gradle/test-retry-gradle-plugin/22","jonnybbb","2020-01"
"gradle/native-platform/71","wolfs","2020-01"
"gradle/native-platform/71","wolfs","2020-01"
"gradle/native-platform/71","lptr","2020-01"
"gradle/native-platform/71","wolfs","2020-01"
"gradle/native-platform/71","wolfs","2020-01"
"gradle/native-platform/71","wolfs","2020-01"
"gradle/native-platform/71","lptr","2020-02"
"gradle/native-platform/71","lptr","2020-02"
"gradle/native-platform/70","wolfs","2020-01"
"gradle/native-platform/70","lptr","2020-01"
"gradle/native-platform/69","adammurdoch","2020-01"
"gradle/native-platform/69","wolfs","2020-01"
"gradle/gradle/12043","wolfs","2020-01"
"gradle/gradle/12042","bamboo","2020-01"
"gradle/santa-tracker-android/13","eskatos","2020-01"
"gradle/santa-tracker-android/13","wolfs","2020-01"
"gradle/gradle/12036","jjohannes","2020-01"
"gradle/gradle/12031","big-guy","2020-01"
"gradle/gradle/12031","rieske","2020-01"
"gradle/gradle/12031","big-guy","2020-01"
"gradle/gradle/12031","big-guy","2020-01"
"gradle/gradle/12028","rieske","2020-01"
"gradle/gradle/12028","rieske","2020-01"
"gradle/gradle/12025","bamboo","2020-01"
"gradle/gradle/12025","adammurdoch","2020-01"
"gradle/gradle/12024","rpalcolea","2020-01"
"gradle/gradle/12024","rpalcolea","2020-02"
"gradle/gradle/12024","melix","2020-01"
"gradle/gradle/12024","melix","2020-01"
"gradle/gradle/12024","melix","2020-01"
"gradle/gradle/12024","melix","2020-01"
"gradle/gradle/12024","rpalcolea","2020-01"
"gradle/gradle/12024","rpalcolea","2020-01"
"gradle/gradle/12024","rpalcolea","2020-01"
"gradle/native-platform/68","adammurdoch","2020-01"
"gradle/native-platform/68","adammurdoch","2020-01"
"gradle/native-platform/68","lptr","2020-01"
"gradle/native-platform/68","wolfs","2020-01"
"gradle/native-platform/68","wolfs","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","tomdcc","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","bamboo","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","wolfs","2020-01"
"gradle/gradle/12019","breskeby","2020-01"
"gradle/guides/324","lacasseio","2020-01"
"gradle/gradle/12015","rieske","2020-01"
"gradle/gradle/12015","rieske","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","hansi-b","2020-02"
"gradle/gradle/12012","hansi-b","2020-02"
"gradle/gradle/12012","stale","2020-12"
"gradle/gradle/12012","stale","2020-12"
"gradle/gradle/12012","zeners","2023-04"
"gradle/gradle/12012","hansi-b","2023-04"
"gradle/gradle/12012","zeners","2023-04"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","hansi-b","2020-01"
"gradle/gradle/12012","hansi-b","2020-01"
"gradle/gradle/12012","hansi-b","2020-01"
"gradle/gradle/12012","hansi-b","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","hansi-b","2020-01"
"gradle/gradle/12012","hansi-b","2020-01"
"gradle/gradle/12012","hansi-b","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","hansi-b","2020-01"
"gradle/gradle/12012","vlsi","2020-01"
"gradle/gradle/12012","hansi-b","2020-02"
"gradle/gradle/12012","hansi-b","2020-04"
"gradle/gradle/12007","jbaiera","2020-02"
"gradle/gradle/12007","jbaiera","2020-02"
"gradle/gradle/12007","mark-vieira","2020-02"
"gradle/gradle/12007","mark-vieira","2020-03"
"gradle/gradle/12007","mark-vieira","2020-03"
"gradle/gradle/12007","ljacomet","2020-03"
"gradle/gradle/12007","ljacomet","2020-03"
"gradle/gradle/12007","jbaiera","2020-03"
"gradle/gradle/12007","jbaiera","2020-03"
"gradle/gradle/12007","mark-vieira","2020-03"
"gradle/gradle/12007","ljacomet","2020-03"
"gradle/gradle/12007","ljacomet","2020-03"
"gradle/gradle/12005","adammurdoch","2020-01"
"gradle/gradle/12005","bamboo","2020-01"
"gradle/gradle/12005","bamboo","2020-01"
"gradle/gradle/12005","bamboo","2020-01"
"gradle/gradle/12005","eskatos","2020-01"
"gradle/gradle/12005","bamboo","2020-01"
"gradle/gradle/12005","bamboo","2020-01"
"gradle/gradle/12005","adammurdoch","2020-02"
"gradle/gradle/12005","adammurdoch","2020-02"
"gradle/gradle/12003","britter","2020-01"
"gradle/native-platform/65","wolfs","2020-02"
"gradle/native-platform/65","lptr","2020-01"
"gradle/native-platform/65","adammurdoch","2020-01"
"gradle/gradle/12000","wolfs","2020-01"
"gradle/gradle/12000","wolfs","2020-01"
"gradle/gradle/12000","wolfs","2020-01"
"gradle/gradle/12000","wolfs","2020-01"
"gradle/gradle/12000","wolfs","2020-01"
"gradle/gradle/12000","wolfs","2020-01"
"gradle/gradle/12000","melix","2020-01"
"gradle/gradle/12000","melix","2020-01"
"gradle/gradle/11997","jjohannes","2020-01"
"gradle/gradle/11997","jjohannes","2020-01"
"gradle/gradle/11997","melix","2020-01"
"gradle/gradle/11993","big-guy","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/native-platform/63","lptr","2020-01"
"gradle/native-platform/63","lptr","2020-01"
"gradle/native-platform/63","lptr","2020-01"
"gradle/native-platform/63","lptr","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/native-platform/63","lptr","2020-01"
"gradle/native-platform/63","lptr","2020-01"
"gradle/native-platform/63","wolfs","2020-01"
"gradle/gradle/11991","ljacomet","2020-01"
"gradle/gradle/11990","eskatos","2020-01"
"gradle/gradle/11990","eskatos","2020-01"
"gradle/gradle/11990","bamboo","2020-01"
"gradle/gradle/11990","bamboo","2020-01"
"gradle/santa-tracker-android/12","wolfs","2020-01"
"gradle/santa-tracker-android/11","wolfs","2020-01"
"gradle/gradle/11987","lptr","2020-01"
"gradle/gradle/11987","lptr","2020-01"
"gradle/gradle/11987","lptr","2020-01"
"gradle/gradle/11987","wolfs","2020-01"
"gradle/gradle/11987","wolfs","2020-01"
"gradle/gradle/11987","wolfs","2020-01"
"gradle/gradle/11987","jjohannes","2020-01"
"gradle/gradle/11987","wolfs","2020-01"
"gradle/gradle/11987","lptr","2020-01"
"gradle/gradle/11987","wolfs","2020-01"
"gradle/gradle/11986","wolfs","2020-01"
"gradle/gradle/11986","wolfs","2020-01"
"gradle/gradle/11986","eskatos","2020-01"
"gradle/gradle/11986","eskatos","2020-01"
"gradle/gradle/11986","wolfs","2020-01"
"gradle/gradle/11986","wolfs","2020-01"
"gradle/gradle/11986","eskatos","2020-01"
"gradle/gradle/11986","wolfs","2020-01"
"gradle/gradle/11986","eskatos","2020-01"
"gradle/gradle/11986","eskatos","2020-01"
"gradle/santa-tracker-android/10","lptr","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","pioterj","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","ljacomet","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11982","jjohannes","2020-01"
"gradle/gradle/11981","ColtonIdle","2020-01"
"gradle/gradle/11981","big-guy","2020-01"
"gradle/gradle/11981","ColtonIdle","2020-01"
"gradle/gradle/11981","big-guy","2020-01"
"gradle/gradle/11981","ColtonIdle","2020-01"
"gradle/gradle/11981","ColtonIdle","2020-01"
"gradle/wrapper-validation-action/11","JLLeitschuh","2020-01"
"gradle/test-retry-gradle-plugin/18","jkschneider","2020-01"
"gradle/test-retry-gradle-plugin/18","breskeby","2020-01"
"gradle/test-retry-gradle-plugin/18","JLLeitschuh","2020-01"
"gradle/test-retry-gradle-plugin/18","JLLeitschuh","2020-01"
"gradle/test-retry-gradle-plugin/18","guylabs","2020-01"
"gradle/test-retry-gradle-plugin/18","guylabs","2020-01"
"gradle/test-retry-gradle-plugin/18","guylabs","2020-01"
"gradle/test-retry-gradle-plugin/18","jonnybbb","2020-01"
"gradle/test-retry-gradle-plugin/18","guylabs","2020-01"
"gradle/gradle/11978","iamdanfox","2020-01"
"gradle/gradle/11978","bmuskalla","2020-03"
"gradle/gradle/11978","marcphilipp","2020-03"
"gradle/gradle/11978","bmuskalla","2020-03"
"gradle/gradle/11976","melix","2020-01"
"gradle/gradle/11976","melix","2020-01"
"gradle/gradle/11976","big-guy","2020-01"
"gradle/gradle/11976","big-guy","2020-01"
"gradle/gradle/11976","melix","2020-01"
"gradle/gradle/11976","ljacomet","2020-01"
"gradle/gradle/11969","melix","2020-01"
"gradle/gradle/11969","jjohannes","2020-01"
"gradle/gradle/11967","big-guy","2020-01"
"gradle/gradle/11964","DanielThomas","2020-01"
"gradle/gradle/11964","DanielThomas","2020-01"
"gradle/gradle/11964","wolfs","2020-02"
"gradle/gradle/11964","wolfs","2020-02"
"gradle/gradle/11964","wolfs","2020-02"
"gradle/gradle/11964","wolfs","2020-01"
"gradle/gradle/11964","wolfs","2020-01"
"gradle/gradle/11964","wolfs","2020-01"
"gradle/gradle/11964","DanielThomas","2020-01"
"gradle/gradle/11964","DanielThomas","2020-01"
"gradle/gradle/11964","wolfs","2020-01"
"gradle/gradle/11964","DanielThomas","2020-01"
"gradle/gradle/11964","wolfs","2020-01"
"gradle/gradle/11964","DanielThomas","2020-01"
"gradle/gradle/11964","wolfs","2020-02"
"gradle/gradle/11964","wolfs","2020-02"
"gradle/gradle/11962","wolfs","2020-01"
"gradle/gradle/11962","lptr","2020-01"
"gradle/gradle/11959","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lptr","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lacasseio","2020-01"
"gradle/native-platform/62","lorros","2020-01"
"gradle/native-platform/62","lorros","2020-01"
"gradle/native-platform/62","lorros","2020-01"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lptr","2020-02"
"gradle/native-platform/62","lptr","2020-02"
"gradle/gradle-profiler-plugin/1","donat","2020-01"
"gradle/gradle/11951","bamboo","2020-01"
"gradle/gradle/11951","bamboo","2020-01"
"gradle/gradle/11951","bamboo","2020-01"
"gradle/gradle/11951","bamboo","2020-01"
"gradle/gradle/11951","bamboo","2020-01"
"gradle/gradle/11951","bamboo","2020-01"
"gradle/gradle/11951","eskatos","2020-01"
"gradle/gradle/11951","eskatos","2020-01"
"gradle/gradle/11951","bamboo","2020-01"
"gradle/gradle/11950","lptr","2020-01"
"gradle/gradle/11944","mquickmann","2020-01"
"gradle/gradle/11944","timolehto","2020-03"
"gradle/gradle/11944","big-guy","2020-05"
"gradle/gradle/11943","lptr","2020-01"
"gradle/gradle/11943","big-guy","2020-01"
"gradle/gradle/11937","big-guy","2020-01"
"gradle/gradle/11937","vlsi","2020-01"
"gradle/gradle/11937","rpalcolea","2020-01"
"gradle/gradle/11937","DanielThomas","2020-05"
"gradle/gradle/11937","DanielThomas","2020-05"
"gradle/gradle/11937","ghale","2020-05"
"gradle/gradle/11937","ghale","2020-05"
"gradle/gradle/11937","vlsi","2020-01"
"gradle/gradle/11937","vlsi","2020-01"
"gradle/gradle/11937","lptr","2020-05"
"gradle/gradle/11937","lptr","2020-05"
"gradle/gradle/11937","lptr","2020-05"
"gradle/gradle/11937","lptr","2020-05"
"gradle/gradle/11937","lptr","2020-05"
"gradle/gradle/11937","lptr","2020-05"
