user,PR
"nicolas-grekas",227
"stof",127
"fabpot",104
"OskarStark",86
"HeahDude",71
"weaverryan",65
"chalasr",61
"alexander-schranz",57
"javiereguiluz",56
"carsonbot",47
"xabbuh",36
"MatTheCat",21
"dunglas",18
"tigitz",16
"ro0NL",15
"derrabus",15
"wouterj",14
"94noni",14
"jrushlow",13
"dbu",12
"WebMamba",11
"PhilETaylor",11
"jvancoillie",9
"github-actions",9
"GromNaN",9
"lyrixx",8
"AndreasA",8
"symfony-bot",7
"kbond",7
"DarrHeLL",7
"upyx",6
"silverbackdan",6
"mpdude",6
"jderusse",6
"claudiu-cristea",6
"alamirault",6
"Kocal",6
"wuchen90",5
"webignition",5
"shrikeh",5
"sdrewergutland",5
"radar3301",5
"ostrolucky",5
"fsoedjede",5
"catch56",5
"b1rdex",5
"alexndlm",5
"seferov",4
"ThomasLandauer",4
"Nyholm",4
"yobrx",3
"stollr",3
"ogizanagi",3
"norkunas",3
"mpiot",3
"mdoutreluingne",3
"maxhelias",3
"lacpandore",3
"ker0x",3
"javaDeveloperKid",3
"christian-kolb",3
"artyuum",3
"alexislefebvre",3
"Trismegiste",3
"MantraMediaMike",3
"ychadwick",2
"yceruto",2
"tatankat",2
"soyuka",2
"sashashura",2
"qzminski",2
"pbek",2
"natewiebe13",2
"mtarld",2
"kelunik",2
"jvasseur",2
"glengemann",2
"githubfromgui",2
"d-ph",2
"ausi",2
"Spea",2
"Naktibalda",2
"HypeMC",2
"BASAKSemih",2
"7-zete-7",2
"zerkms",1
"zairigimad",1
"yyywork",1
"williarin",1
"welcoMattic",1
"veewee",1
"unixslayer",1
"t-richard",1
"stloyd",1
"shyim",1
"shadowhand",1
"seb-jean",1
"sadikoff",1
"pkusmierczyk",1
"phansys",1
"peter-gribanov",1
"nicrodgers",1
"nathan-coleshaw",1
"mytuny",1
"maxbeckers",1
"marin246",1
"lvinc71",1
"johnkrovitch",1
"jlslew",1
"ibousfiha",1
"greggailly",1
"gnito-org",1
"gimler",1
"gilles-g",1
"faizanakram99",1
"dmitry-shylov",1
"datlechin",1
"cilefen",1
"chx",1
"benr77",1
"bendavies",1
"barton-webwings",1
"babeuloula",1
"alcohol",1
"alanpoulain",1
"X-Coder264",1
"Vincz",1
"VincentLanglet",1
"Toflar",1
"SerafimArts",1
"Seldaek",1
"Nicals",1
"Koc",1
"Jeroeny",1
"Geekimo",1
"ERuban",1
"Chris53897",1
"CRC-Mismatch",1
"BastienRimbert",1
