user,PR
"nicolas-grekas",245
"weaverryan",117
"fabpot",95
"kbond",92
"javiereguiluz",72
"carsonbot",57
"derrabus",39
"GromNaN",39
"wouterj",34
"chalasr",28
"94noni",21
"github-actions",20
"Seldaek",19
"Lustmored",19
"Jeroeny",18
"gndk",17
"stof",16
"mytuny",16
"OskarStark",16
"sbelyshkin",14
"ro0NL",14
"dunglas",14
"HeahDude",13
"Nyholm",12
"symfony-bot",11
"mtarld",11
"yceruto",10
"vvasiloi",10
"gnito-org",10
"GaryPEGEOT",10
"seb-jean",8
"michaelKaefer",8
"lyrixx",8
"fancyweb",8
"acoulton",7
"VincentLanglet",7
"T-bond",7
"HypeMC",7
"xabbuh",6
"shadowc",6
"LANGERGabrielle",6
"Jean-Beru",6
"yunmoxue",5
"ytilotti",5
"welcoMattic",5
"jvasseur",5
"EmilMassey",5
"jderusse",4
"blueForman",4
"alexander-schranz",4
"WinterSilence",4
"IonBazan",4
"B-Galati",4
"upyx",3
"tijsverkoyen",3
"mpiot",3
"maxime-aknin",3
"jonashrem",3
"Kocal",3
"Jean85",3
"BafS",3
"zerkms",2
"yoander",2
"ychadwick",2
"williamdes",2
"stloyd",2
"rjd22",2
"qdequippe",2
"michaljusiega",2
"mdoutreluingne",2
"louismariegaborit",2
"llaville",2
"linaori",2
"kaznovac",2
"jrushlow",2
"iDara77",2
"gnutix",2
"flack",2
"ecourtial",2
"driesvints",2
"b-durand",2
"alamirault",2
"ThomasLandauer",2
"PhilETaylor",2
"NorthBlue333",2
"Korbeil",2
"DocFX",2
"DannyMeyer",2
"vince83110",1
"tomasz-kusy",1
"thejoelinux",1
"thePanz",1
"tarlepp",1
"stvnwrgs",1
"sh6210",1
"rodnaph",1
"phramz",1
"ossinkine",1
"ogizanagi",1
"norkunas",1
"mathsunn",1
"magikid",1
"m-vo",1
"loduis",1
"kevinpapst",1
"keradus",1
"jordisala1991",1
"issamkhadiri1989",1
"grasmash",1
"gabdlr",1
"ferjep",1
"faizanakram99",1
"everyx",1
"etolstikov",1
"deleted_user",1
"defixje",1
"danepowell",1
"codedmonkey",1
"cbastienbaron",1
"bobthecow",1
"aszenz",1
"apfelbox",1
"alexislefebvre",1
"ahmedyakoubi",1
"Triplkrypl",1
"SpacePossum",1
"Nek-",1
"JoolsMcFly",1
"JohJohan",1
"InvisibleSmiley",1
"Guite",1
"Deuchnord",1
"Dahkenangnon",1
"Cryde",1
"CharlyPoppins",1
"BoShurik",1
"Baldinof",1
"AsuRaHan",1
