Submitter,Total_PRs,Status
nodejs-github-bot,9942,
ovflowd,3186,
aduh95,2071,
anonrig,1520,
GeoffreyBooth,1203,
mcollina,1032,
targos,1011,
mhdawson,896,
github-actions,892,
MoLow,882,
joyeecheung,867,
AugustinMauroy,702,
tniessen,633,
richardlau,626,
ronag,624,
RafaelGSS,605,
ljharb,603,
rluvaton,558,
vercel,520,
KhafraDev,511,
JakobJingleheimer,506,
benjamingr,502,
bmuenzenmeyer,484,
Trott,473,
cjihrig,453,
lpinca,410,
Uzlopak,402,new
codecov-commenter,372,
debadree25,337,
legendecas,301,
marco-ippolito,280,new
RaisinTen,271,
UlisesGascon,270,new
atlowChemi,267,new
ShogunPanda,264,
bnoordhuis,,churned
jasnell,,churned
panva,,churned
addaleax,,churned
