user,PR
"nodejs-github-bot",1178
"ovflowd",304
"aduh95",277
"anonrig",259
"GeoffreyBooth",188
"joyeecheung",160
"github-actions",137
"benjamingr",131
"Trott",128
"targos",126
"mcollina",107
"AugustinMauroy",107
"Uzlopak",104
"vercel",102
"rluvaton",102
"tniessen",85
"lpinca",76
"ronag",70
"MoLow",69
"bmuenzenmeyer",68
"LiviaMedeiros",68
"RafaelGSS",66
"richardlau",61
"mhdawson",57
"codecov-commenter",50
"ljharb",46
"mikeesto",44
"bnoordhuis",42
"CanadaHonk",42
"ruyadorno",38
"JakobJingleheimer",37
"dnalborczyk",36
"atlowChemi",34
"KhafraDev",32
"HinataKah0",32
"H4ad",28
"SimenB",27
"MattIPv4",27
"debadree25",24
"UlisesGascon",24
"ErickWendel",23
"Qard",22
"umairraza96",21
"niyashiyas",21
"metcoder95",21
"pluris",20
"philnash",19
"araujogui",19
"santigimeno",18
"cjihrig",18
"arcanis",18
"guybedford",17
"RaisinTen",17
"mscdex",16
"ShogunPanda",16
"Ethan-Arrowood",16
"lemire",15
"eldoy",13
"canerakdas",13
"MatteoBax",11
"prettydiff",10
"andremralves",10
"rotu",9
"kshitjj",9
"rodion-arr",8
"mertcanaltin",8
"codecov",8
"sapphi-red",7
"merceyz",7
"isaacs",7
"bricss",7
"billywhizz",7
"Pooja-Codes",7
"pimterry",6
"nicolo-ribaudo",6
"lukekarrys",6
"jasnell",6
"himself65",6
"daeyeon",6
"rvagg",5
"deokjinkim",5
"StefanStojanovic",5
"Dreamsorcerer",5
"styfle",4
"sparist",4
"reconbot",4
"ocodista",4
"marco-ippolito",4
"kibertoad",4
"joycexfang",4
"jimmywarting",4
"jhnns",4
"ggoodman",4
"flakey5",4
"fishel-feng",4
"benz0li",4
"akhateeb22",4
"SiddharthDevulapalli",4
"MylesBorins",4
"BridgeAR",4
"tacozilla",3
"shanpriyan",3
"piranna",3
"nicole0707",3
"nathanhammond",3
"narcisacodreanu",3
"meyfa",3
"littledivy",3
"devsnek",3
"TooTallNate",3
"OshriAsulin",3
"Linkgoron",3
"zongou",2
"zhxinyu",2
"wangling12",2
"vprab",2
"vaqueraoscar0",2
"turnerran",2
"shaikahmadnawaz",2
"sempi",2
"sebastianas",2
"richardburce19",2
"piratepete21",2
"panva",2
"nschonni",2
"namankhurpia",2
"lux01",2
"lukiano",2
"legendecas",2
"jeromecovington",2
"jbergstroem",2
"gireeshpunathil",2
"evelez7",2
"eugeneo",2
"codie-bee",2
"andymac4182",2
"alfonsograziano",2
"aki0501",2
"addaleax",2
"abmusse",2
"TonyRippy",2
"ShenHongFei",2
"RelxOff",2
"Ram1607",2
"Jason3S",2
"Jarred-Sumner",2
"Gonz-coding-co",2
"ChTiSh",2
"AidanWelch",2
"wojtekmaj",1
"wmtdru8xip",1
"wadey",1
"w3nl",1
"vnc5",1
"vmoroz",1
"virentalwar",1
"uncenter",1
"trivikr",1
"tony-go",1
"tifflastimosa",1
"sumitradawn",1
"simone-sanfratello",1
"shrujalshah28",1
"sheplu",1
"saurabh-nahar",1
"recrsn",1
"rajgop1",1
"phated",1
"nmn",1
"nigelnindodev",1
"nassau-t",1
"mohanadft",1
"mmomtchev",1
"meghanareddy-k",1
"manekinekko",1
"kkoopa",1
"kazuhitoyokoi",1
"juanarbol",1
"jperkin",1
"joshmanders",1
"jcoglan",1
"guoye-zhang",1
"github-advanced-security",1
"gabrielschulhof",1
"fox1t",1
"fengmk2",1
"dwitipandya93",1
"dougwilson",1
"dominykas",1
"dingbx",1
"davyus321311",1
"davidben",1
"ctavan",1
"cozzbie",1
"cola119",1
"climba03003",1
"chandrakhishma",1
"chaks64",1
"brunogrcsada",1
"broofa",1
"bobbyg603",1
"bnb",1
"bdbch",1
"bahamat",1
"aearly",1
"YukeshRaghav",1
"X-oss-byte",1
"VoltrexKeyva",1
"SuperchupuDev",1
"ShristiSuman",1
"PodaruDragos",1
"Naman-Gujarathi",1
"Mifrill",1
"JoaoOtavioS",1
"IlyasShabi",1
"Gdakgdak22",1
"GaryWilber",1
"Gabriel-Tapes",1
"GEverding",1
"DominusKelvin",1
"CorrWu",1
"Cadienvan",1
"BethGriggs",1
"ASPang",1
