user,PR
"Trott",35
"ovflowd",30
"nodejs-github-bot",29
"aduh95",26
"tniessen",23
"anonrig",18
"targos",17
"richardlau",15
"KhafraDev",15
"AugustinMauroy",15
"panva",13
"joyeecheung",12
"UlisesGascon",12
"RafaelGSS",12
"MoLow",12
"mhdawson",10
"nschonni",9
"Wai-Dung",9
"StefanStojanovic",9
"kvakil",8
"RaisinTen",8
"marco-ippolito",7
"deokjinkim",7
"cclauss",7
"debadree25",6
"BethGriggs",6
"zcbenz",5
"ronag",5
"juanarbol",5
"cjihrig",5
"npm-cli-bot",4
"gabrielschulhof",4
"VoltrexKeyva",4
"theanarkh",3
"rluvaton",3
"recrack",3
"mikeesto",3
"mateonunez",3
"lilsweetcaligula",3
"joaocgreis",3
"jasnell",3
"jakecastelli",3
"fraxken",3
"EmirBoyaci",3
"ywave620",2
"yuresilva",2
"tibrewalricha",2
"tetsuharuohzeki",2
"step-security-bot",2
"meixg",2
"mcollina",2
"legendecas",2
"guybedford",2
"danielleadams",2
"azu",2
"atlowChemi",2
"andrewfecenko",2
"abmusse",2
"RishabhKodes",2
"NickNaso",2
"LiviaMedeiros",2
"JckXia",2
"zbjornson",1
"ydv-ankit",1
"vhiairrassary",1
"vdeturckheim",1
"umuoy1",1
"ukadavid",1
"tony-go",1
"tlhunter",1
"styfle",1
"shubhamsharma088",1
"santigimeno",1
"rzhao271",1
"rvagg",1
"ruyadorno",1
"rodion-arr",1
"rockdrilla",1
"pulkit-30",1
"pouwerkerk",1
"paivaandeerson",1
"odanado",1
"noel046",1
"nazarepiedady",1
"mpolitzer",1
"moritzraho",1
"merceyz",1
"macno",1
"lpinca",1
"kleisauke",1
"juliangruber",1
"joemaffei",1
"jenthone",1
"jcubic",1
"jayaddison",1
"jasongin",1
"jagadeeshmeesala",1
"imba-tjd",1
"harrisi",1
"gabrielsimongianotti",1
"florianmutter",1
"egmen",1
"dvyukov",1
"dharesign",1
"danielroe",1
"dancastillo",1
"codebytere",1
"chinnadurai",1
"btea",1
"bnoordhuis",1
"blazingzephyr",1
"bghgary",1
"benjamingr",1
"bengl",1
"axkibe",1
"asrvd",1
"araujogui",1
"angellovc",1
"andersk",1
"amirzarie",1
"amilajack",1
"addaleax",1
"abhishekguha95",1
"VALiUMgithub",1
"Theo-Steiner",1
"SpeedyCodeYT",1
"Robot-dev11",1
"Ranieri93",1
"RafiRahmanRaif",1
"Qard",1
"Pospelove",1
"Mr7Gabriel",1
"KaelWD",1
"Hollerberg",1
"HinataKah0",1
"H1Gdev",1
"GauriSpears",1
"DariaGritsienko",1
"Dailyscat",1
"Benreef",1
"AriPerkkio",1
